,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
union,"(0.8679887398167713, 0.0027450284718207748)","(0.9082308538154976, 0.0021600325565293956)","(0.9094142525754922, 0.002216163890351001)","(0.9264951657565847, 0.006328315772149424)","(0.930707049944641, 0.0032400970080046633)","(0.9529644174085931, 0.0034618616318927886)","(0.9531697495951954, 0.003433250837941727)","(0.964172757907456, 0.004777115045343974)","(0.9630638363577966, 0.006292348932025761)","(0.9631015160216269, 0.00451507328263222)","(0.9644690967331613, 0.0060489052565327285)","(0.9632638591964687, 0.006438107990537267)","(0.963819726019252, 0.006198838812180998)","(0.9647391035909839, 0.004924612539499972)","(0.9609772247568283, 0.005923027149832349)","(0.9648960906504673, 0.005192996910763821)","(0.9617716462953171, 0.003850797903421391)","(0.9649043580549022, 0.004506982639264989)","(0.9631838012217763, 0.005367384713784896)","(0.9629494626544481, 0.005594179936276576)","(0.9614948380167198, 0.005267815200430988)","(0.9632807076270075, 0.005561674007277347)","(0.9644006790843184, 0.00592443996018156)","(0.9641669987397258, 0.004899117095818241)","(0.9629228079371, 0.006640596157068382)","(0.9662286443342921, 0.004652305689759224)","(0.9619679696245729, 0.004776313056774183)","(0.9633267784777374, 0.005110756329934272)","(0.961097442754917, 0.005621188097869256)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.8383020012778808, 0.00247288284532323)","(0.8386056535385311, 0.0010262078532595866)","(0.8389119915674644, 0.0023851617290898087)","(0.8383446716000125, 0.0023312429888150436)","(0.8736447231905068, 0.0007504551358669308)","(0.8981558883232106, 0.002973107512000208)","(0.8951756390507228, 0.003804460178497089)","(0.8987399312333512, 0.0026817524961955915)","(0.9111625130329448, 0.006296395321490876)","(0.9250144598071495, 0.007825615901835285)","(0.9188502633268122, 0.0130134697563032)","(0.9213712003560879, 0.005051363011660634)","(0.9287550105319328, 0.003116508793766223)","(0.9512214754972673, 0.001950900323496618)","(0.9535634626712032, 0.003067417923716931)","(0.9527393606792292, 0.0040420007885813)","(0.9528694073247573, 0.0037732875690967326)","(0.9527030783506871, 0.004753043252066256)","(0.9510825422609009, 0.005852628182824743)","(0.9521774070174034, 0.00428016522732617)","(0.9542440012148015, 0.00382803448264118)","(0.9541339764319522, 0.004191469945891558)","(0.9638506882022172, 0.005080451069395395)","(0.964021145541713, 0.004853912035138433)","(0.9631914107595854, 0.005436928583429209)"
quorum,"(0, 0)","(0, 0)","(0.8451166027535282, 0.0009837433132640113)","(0.8922476036792546, 0.0029252861569009467)","(0.892673481645479, 0.00248864831737594)","(0.8981957421601401, 0.0037442225919289765)","(0.8975838175390368, 0.004104870890310901)","(0.9171401043770256, 0.0106940829374524)","(0.919930489604786, 0.010844627067513461)","(0.9300956387012489, 0.006912705900527813)","(0.9281705819463355, 0.008115119665168449)","(0.9449095602032969, 0.008232754015007867)","(0.9626824410966501, 0.0045820868800184305)","(0.9629053277582844, 0.005677445682151634)","(0.9645301106831508, 0.004617358028997915)","(0.9627344042473988, 0.004875905363724467)","(0.9623459340822118, 0.0044646232198302)","(0.9643308959935188, 0.004288712995184978)","(0.9647750033763016, 0.0056102824223306196)","(0.9633448113114916, 0.006250614129686785)","(0.9639051974607359, 0.004967150380882361)","(0.9647054089563658, 0.004756470693357609)","(0.9629898743098586, 0.0049756517259514875)","(0.9607675837883038, 0.004692352612821107)","(0.9648257798829967, 0.005769341353068013)","(0.9656864270079017, 0.004458304329250359)","(0.9635551929719297, 0.005804267747110251)","(0.9630415572768717, 0.005969492796044279)","(0.9645443481808066, 0.00562422037396897)"
