,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
chi2,"(0.7413117449759528, 0.002403329448576614)","(0.8405207410460342, 0.0015769436854038588)","(0.8883550615767503, 0.0011860859924645347)","(0.872707367613159, 0.001479386740482659)","(0.8859439210595553, 0.002018691753145403)","(0.8903493226229147, 0.0012977423011839748)","(0.8906559130579715, 0.0014076283812747357)","(0.8906235351862906, 0.0014052168571782365)","(0.8917943066330768, 0.0009413715553646102)","(0.913011519016873, 0.0017088657993147777)","(0.9212658019516109, 0.002472244459295864)","(0.9318380462316906, 0.000748663264382195)","(0.9301360271053796, 0.0008970938135531731)","(0.9393711092696643, 0.0013366606036141527)","(0.9397814659251587, 0.0011913228998034155)","(0.939827041511996, 0.0012874830616601532)","(0.9398302111106128, 0.0012835096279105818)","(0.9398140640128687, 0.0012809265848377752)","(0.939743793338026, 0.0013791902879147562)","(0.9397105539495078, 0.001350536500311928)","(0.939676207789622, 0.001275941560221371)","(0.939676207789622, 0.001275941560221371)","(0.939789254817377, 0.001272482503475655)","(0.9397801543295108, 0.0012729100685403736)","(0.9397721049427096, 0.0012802072021538171)","(0.9397871881067065, 0.0012585312573028119)","(0.9400407887828234, 0.0012667241359211887)","(0.9416581142515197, 0.0007061707000494366)","(0.9416581142515197, 0.0007061707000494366)"
ANOVA,"(0.8401480705440788, 0.0008240472306167503)","(0.8434862966696037, 0.0010459104399338833)","(0.8729907399543018, 0.0015653954472866223)","(0.872707367613159, 0.001479386740482659)","(0.8859439210595553, 0.002018691753145403)","(0.888560102872266, 0.0021609390824218204)","(0.8906559130579715, 0.0014076283812747357)","(0.8906235351862906, 0.0014052168571782365)","(0.8917943066330768, 0.0009413715553646102)","(0.913011519016873, 0.0017088657993147777)","(0.9212658019516109, 0.002472244459295864)","(0.9318380462316906, 0.000748663264382195)","(0.9395877150477172, 0.000973384504101204)","(0.9399090844907303, 0.0010072238742971833)","(0.9397814659251587, 0.0011913228998034155)","(0.9397907079435672, 0.0012758008466199088)","(0.9398179325567023, 0.001260861626290696)","(0.9397245354271186, 0.0013599136625791844)","(0.939743793338026, 0.0013791902879147562)","(0.939743793338026, 0.0013791902879147562)","(0.9397105539495078, 0.001350536500311928)","(0.939676207789622, 0.001275941560221371)","(0.939789254817377, 0.001272482503475655)","(0.9397801543295108, 0.0012729100685403736)","(0.9400327370550123, 0.0012732172515496996)","(0.9400327017742512, 0.0012559839006727697)","(0.9400407887828234, 0.0012667241359211887)","(0.9416581142515197, 0.0007061707000494366)","(0.9416581142515197, 0.0007061707000494366)"
mutualinfo,"(0.0002046239346640356, 0.00019884542316905816)","(0.0003069257279196618, 0.00022617673673038495)","(0.8401918071170918, 0.0008229054965828165)","(0.8433827527025267, 0.0011365001567736407)","(0.8462389762709298, 0.0010528947389569284)","(0.8620423604120733, 0.0005618617444890767)","(0.8716632040547869, 0.001439027672590573)","(0.8727703613627467, 0.0014645930059052814)","(0.8866181327880897, 0.0017680970296483805)","(0.9106161647355837, 0.0010112219163654452)","(0.910893233519276, 0.0014025227313298873)","(0.922831091685587, 0.0011875891485123395)","(0.9224745587922376, 0.0010317082257799224)","(0.921478366500201, 0.000992541166802903)","(0.9296040127379509, 0.0009093010913317994)","(0.9301668015256921, 0.001002708011416866)","(0.9420318112273399, 0.0009052378859126674)","(0.9420490128310639, 0.0009029434005944942)","(0.9420490114597063, 0.0008723833125219515)","(0.9414918002475824, 0.0008189556950227605)","(0.9414918002475824, 0.0008189556950227605)","(0.9415303384021619, 0.0008457982842711091)","(0.9415394247384864, 0.000846197323521803)","(0.9415222497998407, 0.0008219241188169543)","(0.9415131447748764, 0.0008209105683023065)","(0.9415131447748764, 0.0008209105683023065)","(0.9415456294051427, 0.0008842064950961551)","(0.941824401881172, 0.0008877497300286063)","(0.9416581142515197, 0.0007061707000494366)"
sfs(gb),"(0.1648618131806015, 0.005179636712406533)","(0.8433384629900779, 0.0011381269643096275)","(0.8461698552725101, 0.0010723134910392892)","(0.8764834036819437, 0.0010296257994765463)","(0.8716943189188676, 0.0014366952468615273)","(0.8819838328637992, 0.0020743987982446074)","(0.9037864450183808, 0.001204524780518932)","(0.9042923193372345, 0.0012489675569237718)","(0.9108391581770441, 0.0013553112022636068)","(0.9227952146832564, 0.0012014080436189925)","(0.9224493538437801, 0.0010098155660805458)","(0.9214770631976495, 0.0009597445507036048)","(0.9295249316176436, 0.0008907503336722251)","(0.9418038471847165, 0.0008675159340101801)","(0.9418291672778757, 0.00084225910956461)","(0.9420318112273399, 0.0009052378859126674)","(0.9422241863348007, 0.0008630711535245628)","(0.9422453164883825, 0.0007857602037565682)","(0.9422453164883825, 0.0007857602037565682)","(0.9422352484479646, 0.0007719622972616794)","(0.9423802291479045, 0.0007363453302797046)","(0.9423792136527489, 0.0007522037265102967)","(0.9423792136527489, 0.0007522037265102967)","(0.9423548720590975, 0.0007287155214485874)","(0.9425260794640398, 0.000695970511522772)","(0.9425260794640398, 0.000695970511522772)","(0.9425260794640398, 0.000695970511522772)","(0.9425260794640398, 0.000695970511522772)","(0.9416581142515197, 0.0007061707000494366)"
sfs(lr),"(0.842264807161772, 0.0012870300158120487)","(0.8942928934218669, 0.0013041316082121654)","(0.8729907399543018, 0.0015653954472866223)","(0.882563203465881, 0.0017649053962371264)","(0.8859439210595553, 0.002018691753145403)","(0.888560102872266, 0.0021609390824218204)","(0.8906559130579715, 0.0014076283812747357)","(0.9256670506932517, 0.00153744273903395)","(0.9201641017162162, 0.0017112862874888942)","(0.9263204735228803, 0.0015207434847095379)","(0.9300787063367691, 0.0015005038393161973)","(0.9386172692179396, 0.0011315684315711646)","(0.9391274088152173, 0.001173971021711729)","(0.9390952548016885, 0.0010995762511121416)","(0.9391557270325406, 0.0011080729272947285)","(0.9391717880323054, 0.0011130457668810194)","(0.9391958748435283, 0.0010930903678252574)","(0.9393976514426884, 0.0010978478526078698)","(0.9393896358836298, 0.00110481075972104)","(0.9394673654108934, 0.0011227874661810216)","(0.9394593164388041, 0.0011126978016683857)","(0.9394232643423475, 0.0012317334571447488)","(0.9394253220922917, 0.001204952255753487)","(0.9394162349793103, 0.001219939110860414)","(0.9394162349793103, 0.001219939110860414)","(0.9394162349793103, 0.001219939110860414)","(0.9398325095036671, 0.0009652571302071565)","(0.9419152741275324, 0.0011583778354332074)","(0.9416581142515197, 0.0007061707000494366)"
im(gb),"(0.8401480705440788, 0.0008240472306167503)","(0.8433384629900779, 0.0011381269643096275)","(0.8461698552725101, 0.0010723134910392892)","(0.8764834036819437, 0.0010296257994765463)","(0.8716943189188676, 0.0014366952468615273)","(0.8819838328637992, 0.0020743987982446074)","(0.8866481218678764, 0.0018434635884772522)","(0.888863989087963, 0.0020003099751573416)","(0.9108391581770441, 0.0013553112022636068)","(0.9227952146832564, 0.0012014080436189925)","(0.9221215383748887, 0.0011337716471240544)","(0.9214770631976495, 0.0009597445507036048)","(0.9295249316176436, 0.0008907503336722251)","(0.9301324611441066, 0.0009929420020838011)","(0.930124462568944, 0.0009961114388801016)","(0.9301668015256921, 0.001002708011416866)","(0.9420318112273399, 0.0009052378859126674)","(0.9420490128310639, 0.0009029434005944942)","(0.9420753748480694, 0.0009327716827637414)","(0.9414917619858649, 0.0008248423917847635)","(0.9415111487867097, 0.0008345158374817729)","(0.9414827317803371, 0.0008651358442849973)","(0.9415385465197439, 0.000906587914222125)","(0.9415365058547576, 0.0008897032225002255)","(0.9418335145744967, 0.0009033333817612273)","(0.9416591233678868, 0.0007322730068903075)","(0.9416581142515197, 0.0007061707000494366)","(0.9416581142515197, 0.0007061707000494366)","(0.9416581142515197, 0.0007061707000494366)"
im(lr),"(0.036500380614700796, 0.002548866342308879)","(0.1709818234694908, 0.0007990057805888734)","(0.17117495572502917, 0.0007984651402251993)","(0.7908373571440095, 0.003007309635730009)","(0.8831982774854996, 0.001749969005214435)","(0.8988519028102255, 0.0014525522387827587)","(0.8988146467063295, 0.0014209263182443357)","(0.8988228223715018, 0.0014262882363430965)","(0.90502382317576, 0.0016436232660486585)","(0.9101368566199536, 0.0014205301749394992)","(0.910128812398647, 0.0014138499575738655)","(0.9165113016868254, 0.001617259507961558)","(0.9163874575920611, 0.0017531990740559712)","(0.9163713820051163, 0.0017652094194424378)","(0.9163048234955624, 0.0017803396374503747)","(0.9162755929625839, 0.0017424833340098176)","(0.9162770795421725, 0.0017341730022602266)","(0.924505374168174, 0.0020808434560780596)","(0.923828821204887, 0.0019161330615148516)","(0.9262689378631409, 0.0025275988360215045)","(0.9262606813547354, 0.0025400686541077336)","(0.9301819449951341, 0.0020241974622057634)","(0.9301819449951341, 0.0020241974622057634)","(0.9301655337441261, 0.0020111803954099006)","(0.9301655337441261, 0.0020111803954099006)","(0.9301511021690715, 0.0019262762869440776)","(0.9400407887828234, 0.0012667241359211887)","(0.9416581142515197, 0.0007061707000494366)","(0.9416581142515197, 0.0007061707000494366)"
