,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
chi2,4.180840492248535,4.592684745788574,6.743957281112671,7.855945825576782,10.332382678985596,10.672443628311157,12.688015222549438,13.77616572380066,15.02776050567627,15.69101357460022,16.03409743309021,17.338576078414917,17.510174036026,18.76416325569153,19.376184225082397,19.968565940856934,20.02043318748474,20.50709557533264,20.78544783592224,21.383742809295654,24.396718502044678,21.799636125564575,25.35137677192688,28.51580309867859,25.17840313911438,25.166041374206543,24.772397994995117,26.39063596725464,26.37349796295166
ANOVA,4.773227691650391,6.535023927688599,6.689449787139893,7.367010116577148,9.407148122787476,12.019837617874146,12.487550735473633,13.84594988822937,14.715625762939453,15.90544080734253,16.14382791519165,17.665730476379395,18.7627956867218,19.100891590118408,19.432997226715088,19.77708148956299,20.07727551460266,20.41237998008728,20.86716365814209,21.061640977859497,21.4844868183136,22.097870588302612,23.370466947555542,25.51473069190979,25.619449853897095,26.123100519180298,26.676615476608276,28.304235219955444,28.58551287651062
mutualinfo,6.597348213195801,7.605647325515747,8.406535863876343,9.200408935546875,11.190061092376709,12.610257863998413,13.2485511302948,13.733252763748169,16.15477418899536,17.439363479614258,19.183668851852417,20.196955680847168,21.29003381729126,23.681630849838257,23.85115098953247,23.67767596244812,24.39173126220703,24.38275694847107,24.98215341567993,25.69125723838806,25.428954362869263,25.85182547569275,26.112128734588623,26.389389991760254,26.8401837348938,26.94490098953247,27.123449325561523,27.31690502166748,27.788642406463623
sfs(gb),4.1319451332092285,5.1312596797943115,7.249599933624268,7.944739818572998,9.120593547821045,11.634894847869873,12.730936050415039,14.012505054473877,15.039756059646606,16.2195725440979,17.006493091583252,18.995171070098877,19.68429946899414,19.908729791641235,21.677993297576904,24.89837646484375,24.12544584274292,24.168331384658813,25.792983055114746,25.823898792266846,26.447232961654663,26.696595430374146,26.965844869613647,27.052613973617554,27.47248888015747,27.75270938873291,28.042930603027344,28.194555282592773,28.841853380203247
sfs(lr),7.1827802658081055,6.487640857696533,7.498902797698975,9.77886438369751,10.35631799697876,12.145501852035522,12.621228218078613,14.100271463394165,15.325989246368408,16.263447523117065,17.191001176834106,17.563036918640137,18.289063215255737,18.632156372070312,20.375479221343994,22.42798614501953,22.29236388206482,22.64440608024597,22.636147499084473,22.561095714569092,22.779943704605103,22.747154235839844,23.06322717666626,23.813756227493286,23.48973250389099,24.105712175369263,24.33135986328125,25.923622369766235,27.266303062438965
im(gb),4.749577045440674,4.966516733169556,7.241124153137207,7.5766761302948,8.9537353515625,11.288811922073364,11.891171216964722,13.646949768066406,14.456353664398193,15.979732751846313,17.51973271369934,18.582404375076294,18.912959098815918,19.60426640510559,21.478503704071045,22.8908269405365,23.620559453964233,24.052456378936768,24.17539381980896,24.554249048233032,25.084582328796387,25.32996106147766,25.505751609802246,25.8459575176239,25.71634602546692,25.971613883972168,26.660983324050903,26.661126613616943,26.93190598487854
im(lr),2.7995119094848633,4.2195024490356445,6.499951124191284,6.782949686050415,7.7781782150268555,10.283822774887085,10.512243509292603,10.919410705566406,12.938893795013428,13.314175844192505,13.732575416564941,14.144473552703857,16.022034883499146,16.77259111404419,16.293517589569092,16.877788305282593,17.180498600006104,17.83983850479126,18.94686484336853,19.924644470214844,20.13096332550049,21.510978937149048,22.62079358100891,23.023808240890503,23.639180421829224,23.567058086395264,24.896077632904053,26.58221983909607,26.840495586395264
