,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
union,"(0.8666331963278264, 0.0014550474021210575)","(0.8965749107998187, 0.0011866714974206193)","(0.8965749107998187, 0.0011866714974206193)","(0.9106529244405357, 0.0009242865833638071)","(0.9179692445804509, 0.0007062351700786279)","(0.9260646052217723, 0.0004153747550172941)","(0.9260823028379612, 0.0004038254404455931)","(0.9388251718120962, 0.0018586381037024198)","(0.9388251718120962, 0.0018586381037024198)","(0.9398043430879778, 0.00123775787070853)","(0.9422009528705093, 0.0015224165957191773)","(0.9424024972616525, 0.0015467364084647487)","(0.9416525712359112, 0.0013750100002369752)","(0.9415644162611008, 0.0014513576230010122)","(0.9415644162611008, 0.0014513576230010122)","(0.941732773951745, 0.001411916470466785)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417357872076995, 0.0013662738155693409)","(0.9417448331044591, 0.0013965995314108258)","(0.9417448331044591, 0.0013965995314108258)","(0.9417448331044591, 0.0013965995314108258)","(0.9417448331044591, 0.0013965995314108258)","(0.9417448331044591, 0.0013965995314108258)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.8400827036419258, 0.001196901980801883)","(0.8400827036419258, 0.001196901980801883)","(0.8400827036419258, 0.001196901980801883)","(0.8400827036419258, 0.001196901980801883)","(0.8673410375388511, 0.0014209223937925375)","(0.8860677807120956, 0.0013276116580409822)","(0.8860677807120956, 0.0013276116580409822)","(0.8860677807120956, 0.0013276116580409822)","(0.8888235518745636, 0.0015971386508282493)","(0.9014412012028709, 0.0011872859263222881)","(0.9014412012028709, 0.0011872859263222881)","(0.9080478827000041, 0.0009183110673505178)","(0.9162600749304314, 0.0006545197738965895)","(0.9242102115597296, 0.00098283963586858)","(0.923820182110051, 0.001058356554271424)","(0.9261673782233327, 0.0005119311447395553)","(0.9261673782233327, 0.0005119311447395553)","(0.9261660532861603, 0.0005306380037176661)","(0.9261823936551525, 0.000527139334701578)","(0.9262013217923032, 0.0005029719956760173)","(0.9262095705786055, 0.0005655270287685675)","(0.9262190703094006, 0.0005383539451932832)","(0.9390033422958334, 0.0018664375145713663)","(0.9417742717334254, 0.0017000463016094594)","(0.9417448331044591, 0.0013965995314108258)"
quorum,"(0, 0)","(0, 0)","(0.843527778010035, 0.0011231013050578662)","(0.8729341101571194, 0.001102708586273999)","(0.8725381974594619, 0.0014459982690364726)","(0.8860677807120956, 0.0013276116580409822)","(0.8860677807120956, 0.0013276116580409822)","(0.8879313761978412, 0.0011941374133925828)","(0.8890037103546014, 0.0010021920210552867)","(0.9107799642168504, 0.000558555798299469)","(0.9107799642168504, 0.000558555798299469)","(0.9282864341035607, 0.0015994450997087483)","(0.9394301758481772, 0.001121307936477108)","(0.940017502131236, 0.001238818674316023)","(0.9400720211186673, 0.001224949398245017)","(0.9400720211186673, 0.001224949398245017)","(0.9400720211186673, 0.001224949398245017)","(0.9400720211186673, 0.001224949398245017)","(0.9400640373302227, 0.001241779297369934)","(0.9397092411872301, 0.0013012177529790891)","(0.9398083840768685, 0.0013520996904216678)","(0.9397922765777711, 0.0013631249442597007)","(0.9397922765777711, 0.0013631249442597007)","(0.9398164632076881, 0.001361950951189974)","(0.9400164927054251, 0.001442741294432714)","(0.9399923262949749, 0.0014510952112139857)","(0.9399923262949749, 0.0014510952112139857)","(0.9417448331044591, 0.0013965995314108258)","(0.9417448331044591, 0.0013965995314108258)"
