,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
chi2,dst_host_srv_serror_rate,logged_in,dst_host_srv_count,same_srv_rate,count,srv_rerror_rate,dst_host_count,dst_host_diff_srv_rate,diff_srv_rate,srv_diff_host_rate,wrong_fragment,dst_host_same_src_port_rate,is_guest_login,dst_host_srv_diff_host_rate,duration,su_attempted,root_shell,num_access_files,num_file_creations,num_shells,land,num_root,src_bytes,dst_bytes,is_host_login,urgent,num_failed_logins,srv_count,num_outbound_cmds
ANOVA,same_srv_rate,dst_host_srv_count,logged_in,dst_host_srv_serror_rate,count,dst_host_count,srv_rerror_rate,dst_host_diff_srv_rate,diff_srv_rate,srv_diff_host_rate,wrong_fragment,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,duration,is_guest_login,num_access_files,su_attempted,num_file_creations,root_shell,num_root,num_shells,land,src_bytes,dst_bytes,num_failed_logins,urgent,is_host_login,srv_count,num_outbound_cmds
mutualinfo,src_bytes,dst_bytes,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_diff_srv_rate,logged_in,dst_host_srv_serror_rate,count,dst_host_srv_diff_host_rate,dst_host_count,dst_host_same_src_port_rate,srv_diff_host_rate,srv_count,srv_rerror_rate,duration,wrong_fragment,num_root,root_shell,is_guest_login,urgent,su_attempted,num_access_files,num_shells,is_host_login,num_outbound_cmds,num_file_creations,num_failed_logins,land
sfs(gb),diff_srv_rate,same_srv_rate,dst_host_srv_count,logged_in,dst_host_diff_srv_rate,count,dst_host_srv_diff_host_rate,dst_host_count,dst_host_srv_serror_rate,dst_host_same_src_port_rate,srv_diff_host_rate,srv_count,srv_rerror_rate,wrong_fragment,src_bytes,duration,num_failed_logins,land,dst_bytes,num_root,num_file_creations,num_shells,urgent,root_shell,su_attempted,num_access_files,num_outbound_cmds,is_host_login,is_guest_login
sfs(lr),dst_host_srv_count,logged_in,same_srv_rate,count,dst_host_srv_serror_rate,dst_host_count,srv_rerror_rate,dst_host_same_src_port_rate,dst_host_diff_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,wrong_fragment,duration,land,src_bytes,dst_bytes,urgent,num_failed_logins,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,srv_count,srv_diff_host_rate
im(gb),same_srv_rate,diff_srv_rate,dst_host_srv_count,logged_in,dst_host_diff_srv_rate,count,dst_host_srv_serror_rate,dst_host_count,dst_host_srv_diff_host_rate,dst_host_same_src_port_rate,srv_count,srv_diff_host_rate,srv_rerror_rate,duration,dst_bytes,src_bytes,wrong_fragment,num_root,num_access_files,is_guest_login,num_file_creations,su_attempted,root_shell,num_shells,num_failed_logins,land,urgent,is_host_login,num_outbound_cmds
im(lr),wrong_fragment,dst_host_srv_diff_host_rate,src_bytes,dst_host_srv_serror_rate,same_srv_rate,count,num_failed_logins,num_file_creations,dst_host_srv_count,logged_in,num_access_files,duration,dst_host_count,num_shells,land,su_attempted,num_root,srv_rerror_rate,dst_host_diff_srv_rate,diff_srv_rate,root_shell,srv_diff_host_rate,dst_bytes,urgent,is_host_login,is_guest_login,dst_host_same_src_port_rate,srv_count,num_outbound_cmds
