,MD_size,MD_score,MD_test,MPR_size,MPR_score,MPR_test,MS_size,MS_score,MS_test
union_LR,2,0.8965749107998187,0.6742966622970656,5,0.9179692445804509,0.6583946078431372,3,0.8965749107998187,0.6742966622970656
intersection_LR,5,0.8400827036419258,0.6493398912762103,17,0.9162600749304314,0.672720094749309,8,0.8400827036419258,0.6493398912762103
quorum_LR,3,0.843527778010035,0.6475923910226506,12,0.9282864341035607,0.6704775045582221,3,0.843527778010035,0.6475923910226506
union_GB,2,0.950519673288904,0.7319107662463628,4,0.9682511744466739,0.7136058093322212,3,0.950519673288904,0.7319107662463628
intersection_GB,5,0.8463539544452814,0.6055990560978226,16,0.9592739473619517,0.6687062074410344,8,0.8463539544452814,0.6055990560978226
quorum_GB,3,0.8742155632255029,0.6441625679523687,10,0.9638899902179097,0.693677993997483,3,0.8742155632255029,0.6441625679523687
union_NN,2,0.9082308538154976,0.7093160377358491,6,0.9529644174085931,0.7215429817078951,3,0.9094142525754922,0.7110521922718123
intersection_NN,5,0.8383020012778808,0.6493398912762103,18,0.9512214754972673,0.723911296042366,7,0.8389119915674644,0.6533827618164968
quorum_NN,3,0.8451166027535282,0.6661252664704091,12,0.9449095602032969,0.7368469889579661,4,0.8922476036792546,0.7664547326945463
