,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
chi2,"(0.741190965893012, 0.0025529744549034382)","(0.8441141728046968, 0.0016916354903895772)","(0.8972584029995216, 0.0016898715633494304)","(0.9071345745834727, 0.001157424790065846)","(0.9273027890119374, 0.0010799991409926315)","(0.9430890408049292, 0.0017617904569043315)","(0.9641219174313166, 0.0012054458710553)","(0.9685336880373903, 0.0011634196513308557)","(0.9685420933044995, 0.0010954197424907716)","(0.9687369346703901, 0.0008499977958761766)","(0.9685525903650035, 0.001211279958023486)","(0.9788094748858794, 0.000975093290090658)","(0.9793982857393541, 0.0012865910629749878)","(0.980126549625365, 0.0016011366699602906)","(0.9818991119841625, 0.0009478913755099411)","(0.9818991119841625, 0.0009478913755099411)","(0.9819652847071918, 0.000724656430757767)","(0.9820978248793812, 0.0008071156118936389)","(0.9818156926261002, 0.0009524342876647795)","(0.9819961559413745, 0.0011756984131889826)","(0.9819382397368905, 0.0010130264146656102)","(0.9818378340042606, 0.0011267460686990016)","(0.9885893016877262, 0.0006814161504989959)","(0.9884260798095186, 0.0005012125821171036)","(0.9884260798095186, 0.0005012125821171036)","(0.9883564361738342, 0.0005883380436161133)","(0.9881543754206291, 0.0004653634524438328)","(0.9882562610987152, 0.0005253465418923134)","(0.9882478339429751, 0.0005396749983711317)"
ANOVA,"(0.8464174427412159, 0.0009752066639089333)","(0.8743136085188011, 0.0009667092678009221)","(0.90319802482929, 0.0013707881491798245)","(0.9071345745834727, 0.001157424790065846)","(0.9273027890119374, 0.0010799991409926315)","(0.9499909483350584, 0.0010730386028588042)","(0.9641219174313166, 0.0012054458710553)","(0.9685336880373903, 0.0011634196513308557)","(0.9685420933044995, 0.0010954197424907716)","(0.9687369346703901, 0.0008499977958761766)","(0.9685525903650035, 0.001211279958023486)","(0.9788094748858794, 0.000975093290090658)","(0.9799904165096368, 0.0011729503807462768)","(0.9804067519728136, 0.0011848386419899006)","(0.9818991119841625, 0.0009478913755099411)","(0.9821648656561726, 0.0011558994883126813)","(0.9821564353997572, 0.001151695197216115)","(0.98172017225938, 0.000804225671103489)","(0.9818156926261002, 0.0009524342876647795)","(0.9818444487154462, 0.0007172486760628835)","(0.9818648601539453, 0.0009240376822786581)","(0.9818462598453884, 0.0011295790580066656)","(0.9885893016877262, 0.0006814161504989959)","(0.9884260798095186, 0.0005012125821171036)","(0.9879733488905161, 0.000394359034043661)","(0.9881457331588266, 0.00045985599680379896)","(0.9881543754206291, 0.0004653634524438328)","(0.9882562610987152, 0.0005253465418923134)","(0.9882562798224719, 0.0005419878904823131)"
mutualinfo,"(0.03342805811221015, 0.001270859893584491)","(0.034685805593904745, 0.0012903231670432446)","(0.8609424022302277, 0.0009333881078995074)","(0.8678337113207156, 0.000548817948409212)","(0.8959215569154665, 0.0009005385627399948)","(0.9229007752707545, 0.001355243712173143)","(0.936592876332545, 0.001221461054172268)","(0.9402589191497697, 0.0009269512061775248)","(0.9566120292345233, 0.0008502648441756731)","(0.9704153376290223, 0.0009180436470501358)","(0.9725968240252062, 0.0012292908830183727)","(0.9812907864007612, 0.0007802258781791877)","(0.981561622849286, 0.00035293998730345945)","(0.9814815925063594, 0.0006155165085763792)","(0.9843502195794134, 0.000676477104695328)","(0.9849946325152225, 0.0006588993999659271)","(0.986099575850998, 0.00043275755467522673)","(0.9860154043895257, 0.0004797966098691764)","(0.9859953637429919, 0.00039798983743021747)","(0.9884327499316148, 0.0005341611296776317)","(0.9884997750277632, 0.0005331768820302097)","(0.9885518239573221, 0.0005634287558574939)","(0.9884597568858849, 0.0006300837318133024)","(0.988220087304506, 0.0005192730131966366)","(0.9882285180212202, 0.0005054538470641843)","(0.9882369661241004, 0.0005153285618872912)","(0.9882056615436658, 0.0006149996748476381)","(0.9883010232656618, 0.0005330995508669876)","(0.9882562610987152, 0.0005253465418923134)"
sfs(gb),"(0.8482308201878116, 0.0009593861514400688)","(0.8544626323682218, 0.0006940889908142363)","(0.8783803924223352, 0.0007410674846783965)","(0.9055951776987575, 0.0013506293128942683)","(0.9227720055103215, 0.0013388956256348106)","(0.9439339864095354, 0.001185152033759445)","(0.9560179131582721, 0.0014849886852540343)","(0.960108737834218, 0.0015671718436887862)","(0.9638879968923979, 0.0010031882440859198)","(0.9732805092255432, 0.0009504758312764782)","(0.9738141143633634, 0.0010753097583981366)","(0.9737504900110272, 0.0008371257768707924)","(0.9787739591536957, 0.0011659216468637346)","(0.9799151950416203, 0.0013643738596857196)","(0.9852103380760149, 0.0007795368002138462)","(0.9856202620031583, 0.0003920786136855836)","(0.9854435658634708, 0.0005755569867097018)","(0.9854686658196027, 0.0004971714273002857)","(0.9861380659657897, 0.0005234690777236737)","(0.985954337221653, 0.0005582678781688152)","(0.9860283972286238, 0.0005192280782775145)","(0.9861210890968282, 0.0005757469506420011)","(0.9857914205469125, 0.0005954568890533914)","(0.9859737827025402, 0.0006131763861586962)","(0.9859301515350942, 0.0006314060646517346)","(0.9858066903596994, 0.000635162409911747)","(0.9857980147957152, 0.0006267776741680463)","(0.9858066903596994, 0.000635162409911747)","(0.9882478339429751, 0.0005396749983711317)"
sfs(lr),"(0.8454699232803826, 0.0021474407644125892)","(0.8948010207488574, 0.0017660428530213521)","(0.90319802482929, 0.0013707881491798245)","(0.9234314853582399, 0.0018262224423227853)","(0.9273027890119374, 0.0010799991409926315)","(0.9499909483350584, 0.0010730386028588042)","(0.9641219174313166, 0.0012054458710553)","(0.9723204584216008, 0.001224745813207593)","(0.9780963024424596, 0.0014211761179177753)","(0.9776940709185759, 0.001063246594535374)","(0.9786246887274299, 0.0014827229590575399)","(0.9798245605547089, 0.0015728948643194333)","(0.98061407625611, 0.0012077297317031133)","(0.9805533489975607, 0.0013450236370613682)","(0.9856375098037964, 0.0007399564389910592)","(0.9858953009436494, 0.0007967947575585638)","(0.986230695705465, 0.0008353166157515644)","(0.9859816669664315, 0.0009163146679432989)","(0.9857917304483108, 0.0006037207920183943)","(0.9857917304483108, 0.0006037207920183943)","(0.9859194708164981, 0.0006436055806701456)","(0.9858718753396378, 0.0006823379696559918)","(0.9857754626608086, 0.0004943378521926669)","(0.9856192049930257, 0.0005187818786412314)","(0.9856105182694129, 0.0005156169017560734)","(0.9856020852209048, 0.0005227071000783497)","(0.9883492753750076, 0.0006534264637920067)","(0.9880940640411598, 0.0007783753716326195)","(0.9882562610987152, 0.0005253465418923134)"
im(gb),"(0.8464174427412159, 0.0009752066639089333)","(0.8544626323682218, 0.0006940889908142363)","(0.8783803924223352, 0.0007410674846783965)","(0.9055951776987575, 0.0013506293128942683)","(0.9227720055103215, 0.0013388956256348106)","(0.9439339864095354, 0.001185152033759445)","(0.9469109481881006, 0.0012289904235953779)","(0.9575015391151688, 0.0013961193265124693)","(0.9638879968923979, 0.0010031882440859198)","(0.9732805092255432, 0.0009504758312764782)","(0.9737810970676509, 0.001323315471801931)","(0.9737504900110272, 0.0008371257768707924)","(0.9787739591536957, 0.0011659216468637346)","(0.9787377238147468, 0.0010540527445691294)","(0.9801943083575863, 0.0007394830682376182)","(0.9849946325152225, 0.0006588993999659271)","(0.986099575850998, 0.00043275755467522673)","(0.9860154043895257, 0.0004797966098691764)","(0.9862729291831421, 0.0007128304937703719)","(0.9881058058955086, 0.000512598001847418)","(0.9883575946997004, 0.00045301547063505515)","(0.9883575946997004, 0.00045301547063505515)","(0.9882180852009743, 0.00033047017890382223)","(0.9881926327419924, 0.00038372605998530484)","(0.9881096169768433, 0.0007875149436853765)","(0.9879399889798929, 0.0007488919553932439)","(0.9882562610987152, 0.0005253465418923134)","(0.9882562610987152, 0.0005253465418923134)","(0.9882478339429751, 0.0005396749983711317)"
im(lr),"(0.036500380614700796, 0.002548866342308879)","(0.7656190404856581, 0.0003021925094101668)","(0.7708640024146718, 0.0004425937076907349)","(0.8200947926052411, 0.002778606271054272)","(0.9223800973707877, 0.0015106426960032066)","(0.9476143288246602, 0.0005003692130692012)","(0.9476190844748515, 0.0006255988682244022)","(0.9475853774289942, 0.0009122182392407211)","(0.9629555694386396, 0.000632106610007556)","(0.9673815646911571, 0.0009585707980201402)","(0.9672657800758877, 0.0007915127090229713)","(0.972444025430281, 0.0007291975248592551)","(0.9738806219064164, 0.0007280175109704004)","(0.9737845196999348, 0.0007278491340539292)","(0.9739558807604247, 0.000690958406118752)","(0.9739813984570389, 0.0006580982919388583)","(0.9737882669256503, 0.0007828572832124977)","(0.9773158434070343, 0.0005844165505266184)","(0.9808040297210759, 0.0010511584735962117)","(0.980965526144314, 0.0009311374746472391)","(0.980592125840601, 0.0012435879946351808)","(0.9810120387295228, 0.0009792094085655924)","(0.981281347498642, 0.0015870564470523956)","(0.981287662984071, 0.001642587873082762)","(0.981287662984071, 0.001642587873082762)","(0.9832110347501807, 0.0009938397880448159)","(0.9881543754206291, 0.0004653634524438328)","(0.9882478339429751, 0.0005396749983711317)","(0.9882562610987152, 0.0005253465418923134)"
