,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
union,"(0.9080381556031663, 0.0009510744331472136)","(0.950519673288904, 0.0015948099385624788)","(0.950519673288904, 0.0015948099385624788)","(0.9682511744466739, 0.0006552147419620158)","(0.9727534142108556, 0.00030234462222805415)","(0.9804064337228755, 0.0005851610377692294)","(0.980532897496132, 0.0005721560711174706)","(0.9851260218956925, 0.0005913825949330036)","(0.9851260218956925, 0.0005913825949330036)","(0.9850273028954216, 0.0007204972439936478)","(0.9852259971895734, 0.0008242150019881168)","(0.9863933280404016, 0.0008096507070205264)","(0.987958563242054, 0.00041366023864948537)","(0.9879924197707494, 0.0006499536184553969)","(0.9879924197707494, 0.0006499536184553969)","(0.987898513600682, 0.0006399731150095648)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881096613914917, 0.0004858018822809324)","(0.9881267508494579, 0.0004897038854159373)","(0.9881267508494579, 0.0004897038854159373)","(0.9881267508494579, 0.0004897038854159373)","(0.9881267508494579, 0.0004897038854159373)","(0.9881267508494579, 0.0004897038854159373)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.8463539544452814, 0.0014730018771207949)","(0.8463539544452814, 0.0014730018771207949)","(0.8463539544452814, 0.0014730018771207949)","(0.8463539544452814, 0.0014730018771207949)","(0.9065556059708533, 0.0009469761934959661)","(0.9278966681887475, 0.0008344978932017832)","(0.9278966681887475, 0.0008344978932017832)","(0.9278966681887475, 0.0008344978932017832)","(0.9501528001427729, 0.0010447690781837464)","(0.9553518819472897, 0.0008043676095013125)","(0.9553518819472897, 0.0008043676095013125)","(0.9592739473619517, 0.0010617912348071593)","(0.9612244115370927, 0.000833166053869373)","(0.9666503457565738, 0.00040664259186331766)","(0.9720096035978821, 0.0008395122346830434)","(0.9719290506126741, 0.0007988890354274964)","(0.9719290506126741, 0.0007988890354274964)","(0.9721163490042051, 0.0009470559240961289)","(0.9804296197147293, 0.00047906294080678994)","(0.9805831485507776, 0.0004213560330560907)","(0.9806000104521253, 0.00041334330917967057)","(0.9807285242754246, 0.00028897501150668787)","(0.9859368414538068, 0.0003697938281535721)","(0.9860318750753481, 0.0009430743629157588)","(0.9881267508494579, 0.0004897038854159373)"
quorum,"(0, 0)","(0, 0)","(0.8742155632255029, 0.0009637474661051793)","(0.903145564209008, 0.0008870608206996523)","(0.9075126004973137, 0.0014869455140916468)","(0.9278966681887475, 0.0008344978932017832)","(0.9278966681887475, 0.0008344978932017832)","(0.9575746422151689, 0.0012880201557868636)","(0.9575610920918922, 0.00106363702929912)","(0.9638899902179097, 0.0003809066788763644)","(0.9638899902179097, 0.0003809066788763644)","(0.9753205913248149, 0.0006374516844573337)","(0.9800968914621837, 0.00106530762003908)","(0.9801973965047386, 0.0010238776993147292)","(0.9857226464754124, 0.0004112165228638293)","(0.9857226464754124, 0.0004112165228638293)","(0.9857226464754124, 0.0004112165228638293)","(0.9857226464754124, 0.0004112165228638293)","(0.9862621375278915, 0.0005463975569197568)","(0.9883921018159174, 0.0001475557650713254)","(0.9886100517847753, 0.00024568758888832896)","(0.9884888706568189, 0.0004774502884322687)","(0.9884888706568189, 0.0004774502884322687)","(0.988496411919775, 0.0005038957377336941)","(0.9883596296853225, 0.00016453456535727256)","(0.9883596296853225, 0.00016453456535727256)","(0.9883596296853225, 0.00016453456535727256)","(0.9881267508494579, 0.0004897038854159373)","(0.9881267508494579, 0.0004897038854159373)"
