,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
union,"(0.7910410332420513, 0.0905018119979198)","(0.7696391424552474, 0.06447997521980278)","(0.7803203463100472, 0.0839301392222571)","(0.7838897444152372, 0.057670355632850875)","(0.8219205569047778, 0.07759796914511058)","(0.8019395101315748, 0.05133380028541941)","(0.8028839026114035, 0.052005115287546325)","(0.8033797714441502, 0.051923146435616754)","(0.8033797714441502, 0.051923146435616754)","(0.8033797714441502, 0.051923146435616754)","(0.8033797714441502, 0.051923146435616754)","(0.8033797714441502, 0.051923146435616754)","(0.8033797714441502, 0.051923146435616754)","(0.8021009034375048, 0.05217423635464434)","(0.8028805925765669, 0.051525963882892656)","(0.8028805925765669, 0.051525963882892656)","(0.8028805925765669, 0.051525963882892656)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.7177250008856773, 0.03627593169430738)","(0.7177250008856773, 0.03627593169430738)","(0.7978510819925815, 0.09710537861431479)","(0.7978510819925815, 0.09710537861431479)","(0.7975601723081734, 0.09671093074955064)","(0.7972950430502252, 0.09722656019485852)","(0.8060509985001361, 0.09501625907430647)","(0.8059308140813926, 0.09376307884332581)","(0.8062222753669523, 0.09340344583207777)","(0.8062222753669523, 0.09340344583207777)","(0.7757024481220249, 0.06842237408265972)","(0.7755855245285906, 0.06764648797937584)","(0.7763886841643833, 0.06592965926963117)","(0.7833066520264635, 0.07263714962960548)","(0.7802844897592331, 0.07033828578634356)","(0.8048585220477957, 0.05466697863016554)"
quorum,"(0, 0)","(0.7974968263993464, 0.09662529028465634)","(0.7974968263993464, 0.09662529028465634)","(0.7974123540381107, 0.09651635552796359)","(0.7974123540381107, 0.09651635552796359)","(0.7974123540381107, 0.09651635552796359)","(0.7974123540381107, 0.09651635552796359)","(0.8085791908792611, 0.09531755451292029)","(0.8079452668329206, 0.09426200421455881)","(0.7796440422268603, 0.07367044820283397)","(0.8217671308885492, 0.08034777714569577)","(0.7976334303098669, 0.05049239319030884)","(0.7976334303098669, 0.05049239319030884)","(0.7977721964839605, 0.05088283181445334)","(0.7980648983899421, 0.048644916658287594)","(0.7984259453576167, 0.04892213128378077)","(0.7992858588758788, 0.04794408651955087)","(0.7992858588758788, 0.04794408651955087)","(0.7980231029631686, 0.04692733556443292)","(0.7981615907038482, 0.046496873042933665)","(0.7984217303807444, 0.046925212023125065)","(0.8004395682101432, 0.0499690670169688)","(0.8048585220477957, 0.05466697863016554)","(0.8048585220477957, 0.05466697863016554)"
