,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
chi2,"(0.7114686705406938, 0.002590140270675201)","(0.8111698282569145, 0.003084126560972374)","(0.8161947400295304, 0.0028532132116644133)","(0.8157050547923402, 0.007968793918579901)","(0.8288383143229993, 0.009828861308452641)","(0.8210388510547146, 0.011756199630224569)","(0.823027628792163, 0.007631763384661296)","(0.8552298246750725, 0.0018864190766834348)","(0.856607692190676, 0.0032903088409334895)","(0.8561166158959199, 0.002689974016443944)","(0.8571497132604522, 0.002049441933777535)","(0.8686389396271261, 0.006660537691448395)","(0.8976119357259419, 0.005746759227627207)","(0.9071500674374603, 0.0035853189966375005)","(0.9095836587217464, 0.0038689051876474494)","(0.9136236377336875, 0.0027034208941448066)","(0.9131361742391718, 0.004225873566018556)","(0.9121517635269936, 0.005515035282127653)","(0.9127212238243981, 0.0020958163317102464)","(0.9128017137964595, 0.00374097434326874)","(0.910695626564921, 0.002075099599848196)","(0.9138552725434519, 0.005473870402563089)","(0.9123145834420843, 0.0030467323795830507)","(0.9113236133096698, 0.005721740668357029)"
ANOVA,"(0.8245732132459139, 0.0014039002949428408)","(0.8111698282569145, 0.003084126560972374)","(0.816553074402996, 0.003043354077930994)","(0.8215909370164056, 0.011135150400295045)","(0.8337089215434652, 0.0027293510322890686)","(0.8339843554334371, 0.002678401254639128)","(0.8344568064792751, 0.0028689012884961)","(0.8362810864295351, 0.004253334296962392)","(0.8524041812667944, 0.010649415606511756)","(0.8848428835217039, 0.00499582527521031)","(0.8983531243180742, 0.007304260562495783)","(0.8975136878761877, 0.004229445971660862)","(0.8996841259752208, 0.003880256261914302)","(0.9077233924874586, 0.0031895900752360842)","(0.9087445651634548, 0.0049919516139478)","(0.9116458589247667, 0.0035836275047233758)","(0.9114087978460172, 0.005186474085701013)","(0.9101320653748862, 0.0043200024619915985)","(0.9134056859985968, 0.0034378691138354373)","(0.9121498960253677, 0.006779894566218162)","(0.9087532237139865, 0.0056852153591920845)","(0.9114589098782592, 0.003155545977852193)","(0.9123426123586758, 0.004254686986229884)","(0.9120885624488354, 0.003848081090149993)"
mutualinfo,"(0.7267194921777874, 0.005286561394494922)","(0.7720703678828167, 0.0018499887836261081)","(0.8521190822000013, 0.008748221456082604)","(0.8485158057705509, 0.01109800773674924)","(0.8757210508114852, 0.002343858552725687)","(0.8981216270817338, 0.004686360783733532)","(0.8896884426085157, 0.01982508911764642)","(0.8882214007723622, 0.005747242572481341)","(0.8988343588850572, 0.006824559156347936)","(0.8933277250077072, 0.004985951196865672)","(0.8959455675830679, 0.00800125851852234)","(0.9060509611134411, 0.0032958004815101492)","(0.9067997689543346, 0.0029383178646234286)","(0.9100839710486326, 0.006075011890828924)","(0.9115914061195909, 0.004423705888099151)","(0.9093249524587893, 0.005155598534339267)","(0.9098711087354593, 0.007361524087458642)","(0.9089017970609229, 0.0038348231167816002)","(0.9081788403561768, 0.007622528891961685)","(0.9081200681675853, 0.00526056562675764)","(0.9084132259476885, 0.005025620112635412)","(0.9126485069617306, 0.004555326007615973)","(0.912834827714623, 0.002228213251539822)","(0.912354110082316, 0.00649036948019531)"
sfs(gb),"(0.8405149711470218, 0.0017977546184639722)","(0.863533290644851, 0.005424184869685337)","(0.8676957443957466, 0.009497422814270334)","(0.8718054405929425, 0.004794618398675294)","(0.8886155837892765, 0.008587863096821914)","(0.8954689213814202, 0.0035454387602814647)","(0.9026894162181351, 0.0036104222740377793)","(0.9031932722421958, 0.005411168850035167)","(0.9025464675073392, 0.0026929088590677656)","(0.9011763993659312, 0.006327617570837748)","(0.9054614721431686, 0.005210999229100746)","(0.904399424739154, 0.002840304657351664)","(0.9010839290856409, 0.005619064510924297)","(0.904988306925269, 0.0030387776663027837)","(0.9098192343030274, 0.006430439200851834)","(0.905521574771732, 0.003994717207273065)","(0.903488878162751, 0.0033506687126219174)","(0.9021370915537126, 0.003658692856806853)","(0.9069513493458083, 0.002103649602057454)","(0.9092546040619005, 0.002502081307228247)","(0.9150252732996774, 0.006505698424264662)","(0.9139071704801524, 0.004132340922020934)","(0.9116446418883213, 0.005522230239050051)","(0.9116896909643838, 0.004602791535605711)"
sfs(lr),"(0.8245732132459139, 0.0014039002949428408)","(0.8235535362700513, 0.0064531017562281185)","(0.8065874897769163, 0.012070654662429852)","(0.8319505776950236, 0.009228686305609317)","(0.8556303381588508, 0.001398647085570731)","(0.8535731751017919, 0.0056778109843722)","(0.8838442015294016, 0.004725291998445932)","(0.8832538689607239, 0.0038221719516702795)","(0.8837868383489281, 0.003909131176526513)","(0.8862079389060448, 0.003173669915664428)","(0.8895332718974098, 0.0036549044167550073)","(0.8934728153730569, 0.006066516211676711)","(0.9057532039205005, 0.005981235541379234)","(0.9043412586266383, 0.0032313456255698655)","(0.9025664714493924, 0.0034629265196593206)","(0.9056214471739086, 0.005490877485598331)","(0.9082946120806161, 0.004719923735852552)","(0.903560270451497, 0.0029939911814054073)","(0.90424474425849, 0.004123890412526463)","(0.9148433652116499, 0.0036082214001430923)","(0.9074727570527132, 0.002632404497784464)","(0.9069389562935385, 0.004144067663381718)","(0.9144938685123842, 0.0035753322281284745)","(0.9123224328159882, 0.005513853061580041)"
im(gb),"(0.8245732132459139, 0.0014039002949428408)","(0.8271888771429697, 0.0031832627311616326)","(0.8268921411409261, 0.003390948745497372)","(0.8333610906929743, 0.003514669856185515)","(0.8432361859951666, 0.005787658732922214)","(0.8624891810982673, 0.01075424963588408)","(0.8869397303184299, 0.006839824589881412)","(0.892346668936524, 0.006387909600115298)","(0.9036404988070099, 0.005340973159040045)","(0.903032358923833, 0.0058651500693088394)","(0.9037410209466807, 0.003030620051323544)","(0.9011277622347389, 0.006449847155817591)","(0.9004626612424316, 0.005393143424441096)","(0.8987279409786278, 0.005407368426999741)","(0.9111280338711369, 0.003426729000915973)","(0.9096924393797451, 0.0062686323060126845)","(0.9105900151654118, 0.004067910563032547)","(0.9109433994509635, 0.005789313939625166)","(0.907328634322589, 0.00635536173666521)","(0.9065712377709023, 0.008338404945987152)","(0.9045965424160137, 0.00829740579824067)","(0.914249507466747, 0.003082303813454979)","(0.911348995861182, 0.004805657980725356)","(0.9130483336799168, 0.003449528866229839)"
im(lr),"(0.7017768494791392, 0.008595688583589438)","(0.7223057769334116, 0.037787370447056136)","(0.8245983730312794, 0.005102318044727176)","(0.8332210261423718, 0.008008803087744674)","(0.8375732889529157, 0.004877877307140308)","(0.8395552520980246, 0.0029529107387241253)","(0.8513903357043484, 0.004554176866770334)","(0.8718074992510243, 0.0034756902074319458)","(0.887858265629413, 0.0036904669086017775)","(0.8887175437936667, 0.005218843581992066)","(0.8963074325319287, 0.0015814585601718776)","(0.909665349096486, 0.0041017138383382425)","(0.9087796027493649, 0.0037987070360238997)","(0.9066559579599041, 0.007779526561540032)","(0.905831883549882, 0.0038911820679100786)","(0.9123125209448542, 0.002976818895405405)","(0.9089307193979932, 0.004446141894222122)","(0.9082955065901415, 0.004995930509315781)","(0.9081457466808857, 0.00373529094267988)","(0.9081566138141424, 0.004450941390277536)","(0.9126832289824012, 0.002984666739192855)","(0.9131696341928837, 0.0033503610391374403)","(0.9135175102134838, 0.005407218577143447)","(0.9100574361207346, 0.002567363895467568)"
