,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
union,"(0.8556011088178467, 0.0028789251463379115)","(0.8566742086870294, 0.015357742660951707)","(0.8558050975967589, 0.013641145315411694)","(0.8440000125036239, 0.007831964082377487)","(0.8410430376930733, 0.009936752190296794)","(0.8361442913455527, 0.006489888923352711)","(0.8329037289085968, 0.012825394984356725)","(0.844775674500009, 0.011606151853504816)","(0.840363820088681, 0.009078243392728605)","(0.8388401578289502, 0.007069098539730122)","(0.839870921332856, 0.0061600103636621)","(0.833580128630409, 0.005817125576052808)","(0.8334169245338308, 0.003112373602000472)","(0.8486697285292764, 0.007587202871341111)","(0.8576876674521674, 0.012436746947260997)","(0.8475737185539487, 0.006606923750267965)","(0.8488385102238907, 0.0063913333663314234)","(0.8497549722564728, 0.005374950839540655)","(0.8503404782799059, 0.004541762668120551)","(0.8605822006078283, 0.012731067822904292)","(0.8503354059716679, 0.008501051547734109)","(0.8446545920984241, 0.009165229465778229)","(0.8548170668166264, 0.005567939192093589)","(0.8501245616201691, 0.009328820802009417)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.7329435105255845, 0.0016901056014511848)","(0.7295344845104215, 0.006746668042965751)","(0.8098118819298609, 0.012476021076958896)","(0.8193049470598515, 0.0037652282322390446)","(0.8216556557636924, 0.004012157713195559)","(0.7934690256551142, 0.009438620163745044)","(0.8355914448081453, 0.0223761744256015)","(0.853016336400161, 0.017917517877782594)","(0.8632824096174015, 0.020873513900759588)","(0.8402452599920884, 0.01896829728625854)","(0.844509863202435, 0.012381604597768197)","(0.8524962894299927, 0.009715857176778999)","(0.8301632730607625, 0.004008424005693961)","(0.8576771034570193, 0.014031951871318428)","(0.8575225203681225, 0.008301332086520827)","(0.8568860234300819, 0.007493886795123339)"
quorum,"(0, 0)","(0.8245732132459139, 0.0014039002949428408)","(0.8245732132459139, 0.0014039002949428408)","(0.8243759129866757, 0.003308420663695414)","(0.8301049920176954, 0.009114925816147056)","(0.8304029374445376, 0.00898374963002919)","(0.8302410973076395, 0.009030594514278293)","(0.8333642986697463, 0.007556145973662457)","(0.8311739944294114, 0.004823157503583524)","(0.8452887100950882, 0.02349334712600101)","(0.8384007139383669, 0.0062802967124083895)","(0.8385041298959741, 0.005880179954046656)","(0.8393256448992444, 0.006446012241762282)","(0.8453977571771552, 0.016279158161624136)","(0.8367455366380778, 0.004764780217611304)","(0.8420610786057813, 0.0076896135908418395)","(0.8437618448030595, 0.011389905427548147)","(0.841269436599504, 0.00661735094470586)","(0.8457439680231816, 0.010447920216225062)","(0.8500608100027243, 0.006877549435439279)","(0.8522771201218061, 0.0047862849597802)","(0.8527210870163404, 0.0018536144523919234)","(0.8601977174351869, 0.00758857705050083)","(0.8516789436798808, 0.006857022169418325)"
