,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
chi2,187.31295776367188,188.23623991012573,187.9550416469574,189.6849660873413,188.80982112884521,189.24335360527039,188.08963775634766,188.93833303451538,190.49591517448425,189.33525776863098,190.89932775497437,189.45176243782043,189.55632424354553,189.4874484539032,189.2004280090332,190.47868871688843,189.18835306167603,189.67840814590454,190.48391246795654,190.46755695343018,190.0821647644043,190.50987577438354,191.00191950798035,190.4584686756134
ANOVA,188.81371545791626,189.80032587051392,189.72446370124817,190.22766637802124,190.84801745414734,189.66094970703125,189.62386775016785,190.83563923835754,189.38568234443665,190.46885704994202,189.71861934661865,190.08212733268738,189.88803124427795,188.82378506660461,190.18605518341064,190.86421060562134,189.8168330192566,191.04825949668884,189.7736942768097,190.0256757736206,190.51169562339783,190.32187032699585,191.30152773857117,189.18157267570496
mutualinfo,190.98052525520325,191.14896297454834,189.82540464401245,189.33617043495178,190.4160668849945,189.59289288520813,190.33120346069336,189.6493968963623,188.60824942588806,190.01132106781006,189.71094799041748,191.01146268844604,189.44987511634827,189.26091647148132,190.3537082672119,190.25351691246033,190.04954433441162,188.74030208587646,189.81081342697144,189.4442114830017,189.2186348438263,189.55608224868774,190.25592184066772,190.3969075679779
sfs(gb),189.55708765983582,190.04349970817566,189.1963472366333,189.87361073493958,188.23260688781738,188.3710856437683,190.37726020812988,189.67913675308228,190.09322810173035,189.29588532447815,189.24420428276062,188.17383241653442,190.34000325202942,190.472074508667,189.75327610969543,188.60635709762573,189.73853063583374,189.90051555633545,190.71795988082886,188.94799900054932,190.21750950813293,191.0677616596222,189.71355986595154,189.0207633972168
sfs(lr),189.4034526348114,189.65940189361572,189.58639192581177,190.22436118125916,187.59493827819824,189.72064518928528,188.96983122825623,189.1004514694214,189.63741064071655,188.65566968917847,189.2060673236847,190.47131276130676,189.3210198879242,189.65612196922302,189.86618947982788,191.54178643226624,189.57828736305237,190.5827169418335,190.39182424545288,189.68994665145874,189.48549723625183,188.53460502624512,189.55777430534363,190.41232824325562
im(gb),190.30686116218567,189.90251874923706,189.75812673568726,189.3660228252411,190.104633808136,190.64836716651917,189.69743728637695,189.73178100585938,189.99930548667908,189.95105981826782,188.67395544052124,188.07407402992249,190.03968811035156,190.42137384414673,190.42682814598083,189.7582278251648,189.87464833259583,190.195148229599,190.2233486175537,190.3493812084198,191.44314193725586,192.0438311100006,191.97282814979553,191.47492480278015
im(lr),190.6564016342163,190.69298720359802,192.40206384658813,192.48658514022827,191.6555347442627,191.5103099346161,192.1515974998474,192.06788802146912,191.33166813850403,191.27319979667664,191.31025314331055,189.9784276485443,192.0195028781891,191.04645204544067,191.07701516151428,192.077290058136,192.4501597881317,191.43376350402832,192.5033724308014,191.41522884368896,190.98840761184692,191.8251223564148,190.91110825538635,192.07573747634888
