,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
union,0,144.5965118408203,143.1418116092682,141.19699716567993,140.4599449634552,140.99288821220398,139.88239455223083,144.45136523246765,143.20880031585693,140.25302124023438,141.3163149356842,144.8345844745636,145.07573556900024,141.17619800567627,143.59938263893127,142.73194789886475,140.6432843208313,139.79000735282898,141.6935486793518,143.7149224281311,141.57770204544067,141.71790671348572,141.17269659042358,140.09259557724
intersection,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.50173497200012,138.80656933784485,140.83508968353271,140.2383153438568,144.32093477249146,142.5841236114502,142.64690589904785,141.49161839485168,142.35304951667786,142.28799319267273,143.91797947883606,140.39514875411987,143.14866137504578
quorum,0,0.0,0.0,140.87012147903442,141.30566501617432,140.64138984680176,139.9904134273529,145.91424298286438,144.5762767791748,145.03657388687134,143.69417071342468,142.07206010818481,143.31178617477417,141.8958456516266,138.72617554664612,143.29357719421387,141.42488431930542,139.499005317688,141.43843936920166,139.6947727203369,142.54390501976013,143.5984013080597,144.9416263103485,148.39535307884216
