,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
chi2,191.13254618644714,191.9666256904602,190.03048825263977,192.07455825805664,192.67945218086243,192.2702841758728,192.09701585769653,190.8314220905304,192.65445923805237,192.12742257118225,192.1377410888672,192.55974674224854,191.77189421653748,190.64191222190857,191.46277475357056,190.9469952583313,192.1974983215332,181.7473702430725,175.8405954837799,180.32837057113647,179.65682411193848,179.72628545761108,176.38596773147583,179.46091842651367,179.02553796768188,176.54157185554504,181.33902430534363,181.79854083061218,181.33791995048523,179.68355870246887,177.82338428497314,178.7500603199005,181.47173190116882,189.38566780090332,186.82658314704895,189.59492564201355,218.3294575214386,192.88605642318726,195.22279834747314
ANOVA,191.70918917655945,189.81345105171204,187.90314745903015,186.13013744354248,186.8115074634552,186.5923891067505,187.0115327835083,188.91839575767517,187.07351970672607,186.45733213424683,187.46973609924316,187.41158080101013,188.4094319343567,186.79437375068665,188.0758020877838,185.66522812843323,186.82527923583984,187.51125526428223,188.49176597595215,187.42735648155212,187.1861138343811,187.24236488342285,189.2484531402588,188.10669922828674,187.70573353767395,188.50342965126038,187.28666806221008,191.26034569740295,191.5002634525299,187.1612913608551,189.7396330833435,189.19095540046692,188.4089710712433,188.0899510383606,190.3276491165161,189.0670084953308,189.94839096069336,191.19673800468445,191.6694724559784
mutualinfo,191.28960728645325,189.05706357955933,189.39138746261597,190.28014826774597,188.38436198234558,188.97459363937378,188.1297025680542,187.67086029052734,188.00053095817566,187.39578795433044,186.86781668663025,186.92632031440735,188.40843868255615,188.7819585800171,183.43222641944885,181.29099559783936,180.61667919158936,181.45637130737305,172.91401553153992,175.9969675540924,176.5365674495697,178.8659644126892,180.48711895942688,179.70535373687744,179.00268959999084,179.9578561782837,180.10778665542603,179.54690957069397,179.38275814056396,179.45819759368896,180.18499541282654,178.63970136642456,178.77243185043335,179.77440333366394,181.0337097644806,182.559588432312,184.75990891456604,184.74869966506958,184.33355045318604
sfs(rf),184.99871015548706,186.95339369773865,186.50914859771729,184.8447449207306,184.78223776817322,184.53620529174805,185.25987005233765,184.67831540107727,184.40237402915955,185.68912076950073,184.91181015968323,184.56129360198975,185.04913640022278,185.78820157051086,184.5770194530487,184.7282681465149,184.60605812072754,183.57351422309875,184.65703177452087,187.77589178085327,187.81257915496826,185.7608916759491,186.3416247367859,184.6968801021576,186.3818380832672,187.18760704994202,185.6701581478119,186.4048194885254,186.4445035457611,186.57680678367615,187.8401153087616,186.84099411964417,187.54329800605774,186.8761944770813,187.39798665046692,186.51095485687256,186.11737489700317,187.06463932991028,186.2401361465454
sfs(lr),185.61815524101257,185.5188443660736,185.05119609832764,185.60821318626404,183.6865212917328,184.649080991745,185.418372631073,185.03371214866638,185.05521965026855,184.5536859035492,184.90005564689636,185.9994397163391,185.05572056770325,185.6221764087677,184.95358324050903,185.6680097579956,184.28001070022583,184.97480249404907,183.8633303642273,184.8803195953369,185.1098849773407,185.49415969848633,185.38019490242004,185.71682977676392,184.78401851654053,184.86931777000427,185.96087098121643,186.54379081726074,186.221830368042,184.39173245429993,185.7660036087036,188.17561674118042,186.96391487121582,187.49679899215698,185.97234773635864,187.57564091682434,185.76537895202637,187.1523244380951,187.95388007164001
im(rf),186.4569275379181,184.98754334449768,187.08959102630615,186.2685787677765,186.2496476173401,187.69583773612976,186.341055393219,183.34097957611084,185.8971085548401,184.96878147125244,184.3544578552246,183.72615385055542,185.32297372817993,185.5408115386963,185.15888118743896,184.83564019203186,185.5161530971527,183.25449800491333,184.4129729270935,185.57544827461243,184.89417552947998,184.82663083076477,185.12673497200012,185.16750121116638,183.90641856193542,184.82257103919983,186.4124732017517,186.60068917274475,188.23244667053223,186.54106640815735,187.50834846496582,186.414213180542,185.38890480995178,186.60275149345398,186.26158618927002,186.28961658477783,187.87336587905884,186.01449990272522,187.5820815563202
im(lr),185.06251883506775,184.98141622543335,186.21091628074646,186.9488353729248,185.8209729194641,185.8130898475647,186.56675171852112,185.30354261398315,185.685551404953,183.9692897796631,185.35210013389587,185.81748223304749,184.94480895996094,186.74715423583984,185.4584710597992,186.0972192287445,185.69319534301758,184.97616386413574,185.04665970802307,183.97743320465088,185.2062542438507,184.7823395729065,184.59683775901794,185.90442848205566,184.32157731056213,186.0643150806427,186.01727151870728,185.182626247406,187.2609715461731,185.3420431613922,187.26984214782715,186.56803131103516,185.07352209091187,187.17305278778076,186.46552348136902,186.47007274627686,186.57092809677124,186.28146266937256,186.96830320358276
