,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
chi2,"(0.6939385764893128, 0.08372822659913183)","(0.6955219749418872, 0.081253009583515)","(0.7163466878991158, 0.09146808584281996)","(0.7539240269617962, 0.061871523798801197)","(0.7528433545656485, 0.06151178676384411)","(0.7597517952554199, 0.06947295179684923)","(0.7681740743333462, 0.06644623855245399)","(0.7806035793207515, 0.0552728199223204)","(0.7771733284274647, 0.05124973967300513)","(0.7764493875315864, 0.05199823914712439)","(0.7961756201843108, 0.0699086345353863)","(0.7939361487010188, 0.06968203390613888)","(0.823491069594683, 0.07518865551509543)","(0.8212274723950532, 0.07216204572596019)","(0.8233679120063007, 0.06996686438621277)","(0.8234476327964803, 0.07015991125082294)","(0.8235005952371999, 0.07018733627030954)","(0.8234709660609664, 0.07035738752648084)","(0.8260757824223633, 0.07223272985034587)","(0.8259454111193296, 0.07221944064290281)","(0.8261406006868516, 0.07230568564781206)","(0.8261702933384039, 0.07228893032959026)","(0.8265210271539264, 0.07230685027815299)","(0.8258100896785889, 0.0713939461538643)"
ANOVA,"(0.7497266019646857, 0.1258315179754529)","(0.7942527369146788, 0.11936606095446319)","(0.7152518150166235, 0.0706090328368344)","(0.7970285239445095, 0.09577310624563529)","(0.8067016338655659, 0.08771130918325351)","(0.776181535623928, 0.053370073698406344)","(0.7695407108510973, 0.04522049482905799)","(0.774604082900652, 0.05020554260770105)","(0.7771733284274647, 0.05124973967300513)","(0.7821276168617333, 0.051668501852457485)","(0.7805164057503089, 0.052191310956613314)","(0.7801104712958541, 0.05262241959301925)","(0.82353403897859, 0.07517723468727587)","(0.8212374306735066, 0.07214465505058125)","(0.8212167323317976, 0.07217388095151675)","(0.8232943573496752, 0.0700002078649645)","(0.8234491113216983, 0.07011926004729355)","(0.8236362875299361, 0.07024014058918639)","(0.8237276407232142, 0.07040086989081586)","(0.8235703950114365, 0.07030879679704871)","(0.8240285854035095, 0.07038091075762656)","(0.8262781139058987, 0.07219913022679642)","(0.8265201543663123, 0.07229176237269747)","(0.8258674291891792, 0.07143983850796244)"
mutualinfo,"(0.7090206395284204, 0.002305354099460096)","(0.7081983184892329, 0.002023197120986804)","(0.709353853014326, 0.002878002941010093)","(0.7351480499927533, 0.05875927215172035)","(0.7978101313937713, 0.09654986655714039)","(0.7978097184633286, 0.09646027736638339)","(0.7961871532521791, 0.09689475161251535)","(0.79612616402099, 0.09633584977291579)","(0.7954191290983463, 0.09617350161030742)","(0.7953113017745267, 0.09621651432026161)","(0.7952618111205914, 0.0963357238267432)","(0.7952701938499623, 0.09633543666998529)","(0.7729669519438291, 0.049391281941579)","(0.7688567757348622, 0.04586741451866724)","(0.7687062296426488, 0.04586962837194698)","(0.7768302816855366, 0.04005118461163261)","(0.7760007220825023, 0.0401893746554597)","(0.8229827569840079, 0.07227422568410813)","(0.8231878711232579, 0.07231393648972323)","(0.8232410730471008, 0.0724009636187675)","(0.8265111754254274, 0.07680920810455252)","(0.8254465203380335, 0.07256438712664771)","(0.8276146928550302, 0.07434650569198742)","(0.8258419269777162, 0.0713933002949516)"
sfs(rf),"(0.7974968263993464, 0.09662529028465634)","(0.7974968263993464, 0.09662529028465634)","(0.7965579989897208, 0.09569441256315113)","(0.7943870136625293, 0.09300690530817382)","(0.7952181618362222, 0.0942020447443334)","(0.7961394636853917, 0.09607366421413199)","(0.7958789603416705, 0.09594032868849417)","(0.7960541549703777, 0.09598820830188269)","(0.7962521437746071, 0.09624260250632827)","(0.7961520423522158, 0.09627051448677271)","(0.8054572010941939, 0.0880504747786803)","(0.7970380317711042, 0.07922479272802664)","(0.7973097017175957, 0.07920614891819432)","(0.7972469908043536, 0.07920925215258198)","(0.7965904957542124, 0.07153498469448927)","(0.7976925737302205, 0.07368790844184482)","(0.828713154747789, 0.07829172212572297)","(0.8287888873426729, 0.07850113952299642)","(0.8287043431738497, 0.07840979751169334)","(0.8275405377201999, 0.07429690936649506)","(0.8255633167248637, 0.07107380311165955)","(0.8254685621902704, 0.07112295404770057)","(0.8254362869327195, 0.07120547746296857)","(0.8257715947185368, 0.0714049445067402)"
sfs(lr),"(0.7974968263993464, 0.09662529028465634)","(0.79744845840188, 0.09662847487682868)","(0.79744845840188, 0.09662847487682868)","(0.7973397677427914, 0.09620047252373339)","(0.8067016338655659, 0.08771130918325351)","(0.8063556625548551, 0.08767141397536575)","(0.8063754037244731, 0.08763762922577739)","(0.7711895983155319, 0.05120813081423325)","(0.77093685405983, 0.0511251836580389)","(0.7703793223031244, 0.05062152015600057)","(0.7699196349477516, 0.0507557106818303)","(0.7698516158848581, 0.05079516530965539)","(0.7668005665011199, 0.051173727231037)","(0.7692036544910199, 0.05110490653118601)","(0.7703886193147443, 0.051143280049158975)","(0.7705980881040719, 0.050961718350784196)","(0.770311594326803, 0.05102874079388064)","(0.7790357759800285, 0.060066594023091745)","(0.7782423387636341, 0.059541285719762985)","(0.7798802240261856, 0.06081100435725688)","(0.7834272707277312, 0.05990235827666846)","(0.780152953597937, 0.051757250920194)","(0.7776605803971692, 0.0505736904454663)","(0.8257864176758405, 0.07143048450935408)"
im(rf),"(0.701723742533963, 0.005981737695221501)","(0.7967297753913029, 0.09581202483821756)","(0.7963510986071054, 0.09544807848369331)","(0.7963100914869837, 0.09539158383192202)","(0.7290516258847838, 0.10394536379404053)","(0.7343771433894568, 0.10351387918152323)","(0.7307943918176603, 0.08851482681673827)","(0.7448345556458233, 0.09029884810205577)","(0.7457154653593262, 0.08939533575904571)","(0.748042500729551, 0.07794906394886358)","(0.7497584274635117, 0.07650277627277872)","(0.751534221790476, 0.0768357538725111)","(0.7486525098650801, 0.0792378295221201)","(0.748583314782592, 0.07920585009871658)","(0.7504567060130812, 0.07931356812247616)","(0.7491303601679086, 0.07876905972721816)","(0.7958312734322834, 0.0696761224970855)","(0.7966236148315631, 0.0696999258264812)","(0.8252226841080402, 0.07232540815890813)","(0.8252136881119124, 0.07250350267985733)","(0.8253092319662751, 0.07255112684676437)","(0.8254083814007597, 0.07259533607614765)","(0.8233996493213119, 0.06906261102226634)","(0.8258363554537487, 0.07138859404917529)"
im(lr),"(0.7001113142854718, 0.054376132755893834)","(0.6934750671322155, 0.08364427395331678)","(0.6968965267776979, 0.09671643932461377)","(0.7022249937801646, 0.09616079723369902)","(0.7183183128059136, 0.0725605052233753)","(0.7184717426884598, 0.072925463435781)","(0.7184255904568397, 0.07296106839832407)","(0.7185185237015101, 0.07290892923896947)","(0.7180533818121739, 0.07307278769485674)","(0.7184121410136038, 0.0669073477924296)","(0.756671703802908, 0.045074985344156285)","(0.757823942399566, 0.04642707492473444)","(0.7642810608187115, 0.053874255007896915)","(0.7724110418158981, 0.0533049349595503)","(0.77265408198845, 0.05322361251232413)","(0.768807861930455, 0.04983296993423126)","(0.7749318187702074, 0.04758338600348189)","(0.7778718619026479, 0.05109182149731281)","(0.7778580194884877, 0.05097249086704923)","(0.7776997736156765, 0.051031930797295004)","(0.7781228242274293, 0.05053336863810465)","(0.7781423522092092, 0.05056501898097047)","(0.8265358918148458, 0.07232417211866211)","(0.8258338398557281, 0.07141425214476466)"
