,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
union,"(0.0, 0.0, 0)","(0.863097861001421, 0.019144911318421214, 6)","(0.891105246259252, 0.011839650978490466, 10)","(0.8849361936610103, 0.012708908619342369, 12)","(0.8849361936610103, 0.012708908619342369, 12)","(0.882347233306079, 0.02087513684915596, 13)","(0.8698045677834088, 0.024911647497008683, 17)","(0.8698045677834088, 0.024911647497008683, 17)","(0.8787715086917913, 0.02469514785676866, 18)","(0.8693836027752901, 0.022740498445426947, 20)","(0.8802973305100299, 0.016957707301665636, 21)","(0.8802973305100299, 0.016957707301665636, 21)","(0.8802973305100299, 0.016957707301665636, 21)","(0.8762297902817074, 0.018861652298732375, 22)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8835538389772586, 0.021521049914730025, 23)","(0.8861935219738667, 0.020153004940266627, 24)"
intersection,"(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.7735208486804388, 0.0014343853342792777, 1)","(0.733112446501728, 0.0028962456280301743, 3)","(0.733112446501728, 0.0028962456280301743, 3)","(0.733112446501728, 0.0028962456280301743, 3)","(0.733112446501728, 0.0028962456280301743, 3)","(0.774859837170474, 0.009422112509374888, 5)","(0.8201356173961702, 0.012329321940074744, 8)","(0.8201356173961702, 0.012329321940074744, 8)","(0.8244629483506722, 0.015849184844176935, 9)","(0.8198560820968985, 0.004356934265853502, 12)","(0.8584666022856924, 0.018622049507116357, 15)","(0.865668274179834, 0.021347497859808537, 17)","(0.870084518145366, 0.023165397394889924, 19)"
quorum,"(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.8245732132459139, 0.0014039002949428408, 1)","(0.8249575678202927, 0.0033755259943239538, 3)","(0.8249575678202927, 0.0033755259943239538, 3)","(0.8306801746203311, 0.010253740409033, 4)","(0.848445596123088, 0.011806892353198832, 7)","(0.848445596123088, 0.011806892353198832, 7)","(0.8445458178435624, 0.012449103433868337, 8)","(0.8430977673278907, 0.011417520966889073, 9)","(0.8414303445798603, 0.020115633283682165, 10)","(0.8414303445798603, 0.020115633283682165, 10)","(0.8511315359615736, 0.011210459090518916, 12)","(0.8511315359615736, 0.011210459090518916, 12)","(0.8487274262756255, 0.01308721781366285, 14)","(0.8683791222734086, 0.023925795389852213, 17)","(0.8708652632312249, 0.02219857237199948, 18)","(0.8708652632312249, 0.02219857237199948, 18)","(0.872401380568838, 0.02385956390315983, 20)","(0.8527015199531057, 0.021458247924306097, 21)","(0.8831257415121441, 0.021010686316683465, 23)","(0.8831257415121441, 0.021010686316683465, 23)","(0.8680461767542722, 0.02205781929023205, 24)"
