,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
union,"(0.4100042061255341, 0.0026217190359480854)","(0.46984171978698475, 0.002439616960432287)","(0.46032486377848086, 0.002154036267236816)","(0.6314302944971308, 0.0020329767942606682)","(0.638472902788477, 0.0010383412402454897)","(0.6543150800126479, 0.002036217988549634)","(0.6534284336114686, 0.002618666336344297)","(0.6512951210165481, 0.002078586832747667)","(0.6512951210165481, 0.002078586832747667)","(0.6512951210165481, 0.002078586832747667)","(0.6587057552710862, 0.0013526860235320952)","(0.658782764779696, 0.0013963529336593462)","(0.6610564520708048, 0.001163508383564366)","(0.6610564520708048, 0.001163508383564366)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.661354016973649, 0.0010917257419083915)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.5051840636736985, 0.0021380587389566966)","(0.5051840636736985, 0.0021380587389566966)","(0.5051840636736985, 0.0021380587389566966)","(0.5051840636736985, 0.0021380587389566966)","(0.5052155215778942, 0.002265765575962992)","(0.5016914154932075, 0.0019009780473336596)","(0.5016914154932075, 0.0019009780473336596)","(0.5016914154932075, 0.0019009780473336596)","(0.5016914154932075, 0.0019009780473336596)","(0.5026092005983289, 0.0018096371044946603)","(0.5026092005983289, 0.0018096371044946603)","(0.4901413720805154, 0.001907115436799462)","(0.4901413720805154, 0.001907115436799462)","(0.4901413720805154, 0.001907115436799462)","(0.4900491054173144, 0.0019626394299843736)","(0.5050859001534154, 0.0017572827659173642)","(0.5094073730732246, 0.001762730091163955)","(0.5101245500929924, 0.001828034499681826)","(0.5101245500929924, 0.001828034499681826)","(0.5114342624575144, 0.0021166655280229134)","(0.4718230171157793, 0.001967200395207523)","(0.6629033276972709, 0.0011664348813910871)","(0.7513933453107835, 0.001193215011723595)","(0.7514687324443249, 0.0011747176455913788)","(0.7514667274917973, 0.0011755539705189928)","(0.7521954221275977, 0.00115875160621334)","(0.6328782278342465, 0.002367682853535822)","(0.6566436621186268, 0.0014297158484903492)","(0.6566436621186268, 0.0014297158484903492)","(0.6562510307211789, 0.0016232215668643267)","(0.6572299338447418, 0.001326091540079328)","(0.6627795848508427, 0.0008086379871136447)"
quorum,"(0, 0)","(0, 0)","(0.49106058179690615, 0.00208157493740841)","(0.49106058179690615, 0.00208157493740841)","(0.49106058179690615, 0.00208157493740841)","(0.49106058179690615, 0.00208157493740841)","(0.4921641349570923, 0.002040029150094209)","(0.48694716457170595, 0.0017812652260703887)","(0.4884922732943643, 0.0014907688829836998)","(0.5087621895007999, 0.0020071921831424375)","(0.5098580557033465, 0.002096113281200613)","(0.5098580557033465, 0.002096113281200613)","(0.510784309996205, 0.0017711297573496695)","(0.5504313224512913, 0.004323528126281262)","(0.5504313224512913, 0.004323528126281262)","(0.5504313224512913, 0.004323528126281262)","(0.6195972053859743, 0.002201471356895371)","(0.6195972053859743, 0.002201471356895371)","(0.6186662303445493, 0.002043744100567108)","(0.6162232838949824, 0.0021784847678602906)","(0.6179491439745152, 0.0022291850142795236)","(0.6210007833440659, 0.0027982284701199536)","(0.6105429897049326, 0.0018707496269089996)","(0.6250466707805796, 0.001738657649281347)","(0.6250466707805796, 0.001738657649281347)","(0.6250872090050862, 0.0016846452884089753)","(0.6627852103842122, 0.0008091642565177078)","(0.6627852103842122, 0.0008091642565177078)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)","(0.6627795848508427, 0.0008086379871136447)"
