,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
union,71.57326436042786,94.55181932449341,113.27702856063843,156.27106642723083,174.14368343353271,189.570974111557,214.44023895263672,233.94101858139038,234.87649059295654,235.23455452919006,239.85319828987122,248.5229697227478,259.1884560585022,259.8157796859741,260.11208391189575,258.4080808162689,259.1660227775574,258.77400064468384,264.1294674873352,274.7737603187561,267.93908953666687,269.5008955001831,271.2981028556824,272.32929944992065,269.25749111175537,269.02999663352966,259.7399682998657,259.1679832935333,260.8565311431885,260.5900890827179,260.9452316761017,262.58894085884094,263.88013553619385,273.15611243247986,274.95633816719055,274.31595373153687,273.71861004829407,271.1494574546814,271.09557271003723,273.1162350177765,264.8930654525757,263.41222381591797
intersection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.635883808135986,28.248136520385742,28.114421129226685,27.965882539749146,36.78442096710205,74.53839254379272,74.69717645645142,75.0594527721405,74.23357915878296,97.98832678794861,97.17518758773804,106.48841166496277,107.1543459892273,106.58042693138123,111.95780444145203,123.32537412643433,143.42714548110962,165.16402292251587,172.75374507904053,175.3049464225769,195.17876625061035,206.86347341537476,212.20321416854858,212.12243008613586,218.9083068370819,231.70603704452515,241.95457935333252,241.9928138256073,241.84204840660095,248.59867572784424,252.68517398834229,260.585884809494
quorum,0.0,0.0,37.440937519073486,38.22965598106384,38.065781354904175,37.36127042770386,49.00397992134094,79.80788111686707,98.56572604179382,119.6255271434784,140.04519248008728,143.18340587615967,170.9575252532959,174.43823623657227,173.27135944366455,173.61148524284363,186.81313705444336,185.99531435966492,213.32322454452515,220.0481927394867,235.7382094860077,246.07733368873596,239.5669083595276,246.0069441795349,247.26567339897156,246.7660939693451,252.62687134742737,254.49357271194458,255.25962090492249,270.30175161361694,269.9885904788971,270.1282229423523,269.5250737667084,270.0892686843872,268.9902322292328,270.56997752189636,269.01507210731506,260.9567651748657,261.3652596473694,260.9672038555145,261.4872078895569,262.8460216522217
