,MaxDelta,MD_score,MinPerfReq,MPR_score,MaxScore,MS_score
Greedy_LR_greedy,4,0.7861180125644367,11,0.7950456728274781,12,0.8275864245785135
Greedy_GB_greedy,4,0.8037421183275579,16,0.8921032165517693,20,0.9219056663864237
Greedy_DNN_greedy,3,0.825140501923755,12,0.8481461275745918,9,0.8587184676280307
