,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
chi2,"(0.7104649275577262, 0.0335441755954196)","(0.7104649275577262, 0.0335441755954196)","(0.8088487313722375, 0.08315676650902802)","(0.7828048550974923, 0.08175900736665945)","(0.8319444335012409, 0.06236923543553858)","(0.8655042076216972, 0.05777344105393725)","(0.868108218329591, 0.05773693704772636)","(0.8669509691101241, 0.05810585025233348)","(0.8571152862271371, 0.05443138271442693)","(0.8787604066055472, 0.07767688424054629)","(0.8977528228305107, 0.08119382625721328)","(0.8970014540667893, 0.08173822349225074)","(0.8994325320534541, 0.08245106190424041)","(0.8974567544486959, 0.08255235430207485)","(0.899674203724525, 0.08033441333609198)","(0.9024286211917477, 0.07948884977818826)","(0.9024286211917477, 0.07948884977818826)","(0.899770811424369, 0.08258482773946993)","(0.9016155750323908, 0.07923943597450477)","(0.9080763648183556, 0.06868218815295697)","(0.9113557087315209, 0.06306572694090241)","(0.9076004505164443, 0.06902193647741225)","(0.9056157294142464, 0.07496287272487587)","(0.9310672940916278, 0.03844983938506803)","(0.9311963463012829, 0.03824254574890768)","(0.9320710544772826, 0.037835992537259895)","(0.9310359721130641, 0.03762418674194414)","(0.9310474604634293, 0.03857828069254195)","(0.9316094740795554, 0.03829041663531831)","(0.931584589475495, 0.03822489440460211)","(0.9320708497580952, 0.03830845172843519)","(0.9328804622980418, 0.037429948876728396)","(0.9329249077967608, 0.03714797588551092)","(0.9336713109826628, 0.03698668217254768)","(0.9354680040925064, 0.036626200496515625)","(0.9356846979530473, 0.03660513736007622)","(0.9353023581657854, 0.03687139465775272)","(0.9357666311565481, 0.037017483749322753)","(0.9358737434860567, 0.03660937517347622)"
ANOVA,"(0.8424980069524093, 0.12522635113491432)","(0.8082921435542639, 0.08409702137154576)","(0.775838685832255, 0.08541846395911962)","(0.7828048550974923, 0.08175900736665945)","(0.832033060573454, 0.06230512771201488)","(0.8306724326002481, 0.06387935255035712)","(0.8348329701157347, 0.06164586188203303)","(0.8761375279426937, 0.05729089864565223)","(0.8797601922857574, 0.05840178201922791)","(0.8798240990344025, 0.05806423989997612)","(0.8794828400411229, 0.05786037162853997)","(0.8862633519308334, 0.05471576350727183)","(0.8987031973907582, 0.08136149178466676)","(0.9014347504610327, 0.07618363786429334)","(0.9005221280883953, 0.08177388882297473)","(0.9024286211917477, 0.07948884977818826)","(0.9051315853204294, 0.07381138349716214)","(0.9030152448425598, 0.07793724964251442)","(0.9092705686234328, 0.06766464712307775)","(0.9053983406171249, 0.07262342279651357)","(0.9069943657890059, 0.06947993638947582)","(0.9069068095103295, 0.06963993098672665)","(0.907007653266762, 0.06928087449366659)","(0.9157085395708494, 0.05638192402157448)","(0.9085472895514023, 0.07034259992088461)","(0.9313411919309281, 0.03804574600898846)","(0.9311537528109964, 0.038385729781254374)","(0.930971262962973, 0.03830866172142493)","(0.9328519769397273, 0.03718357028095036)","(0.9330307081720053, 0.037478103396193986)","(0.9322781632930355, 0.03727992766925817)","(0.9325974303869039, 0.03718301672004728)","(0.9325974303869039, 0.03718301672004728)","(0.9335287295560519, 0.036677024766047374)","(0.9335084116812535, 0.036673486783890305)","(0.9353227581001681, 0.036874624751414675)","(0.9351189575322951, 0.03684437154769567)","(0.935792011824191, 0.03702272407131209)","(0.9358737434860567, 0.03660937517347622)"
mutualinfo,"(0.8285437579574009, 0.041361744031381265)","(0.8625392743059772, 0.04798329161672045)","(0.8636572388723284, 0.04893173014876037)","(0.8902725602138719, 0.04477354165416243)","(0.8991010757531182, 0.047687933512425396)","(0.9067321351668707, 0.04645536217726486)","(0.9096290497033355, 0.041884474698708575)","(0.9120092683685141, 0.04011792506612501)","(0.9127494574884665, 0.043657077340886016)","(0.913493140712232, 0.041630490574524504)","(0.9148532008679098, 0.04130399856894907)","(0.9159563754081773, 0.040732141643591166)","(0.9149420797767729, 0.04131667727373524)","(0.9140321441822484, 0.040124509220382236)","(0.9156604002250731, 0.038842750526169756)","(0.9152336724582124, 0.03918551765606605)","(0.914984966165634, 0.03929578654830963)","(0.9147109509399737, 0.03872280862259685)","(0.9149353424708069, 0.03951519257022168)","(0.9137533881849007, 0.039439978084036785)","(0.913534134685975, 0.039040233112431454)","(0.913618952786266, 0.040391049094893564)","(0.9126000078899613, 0.040166104267731643)","(0.9179203142944183, 0.04590244847015273)","(0.9183563857543067, 0.04594798896244995)","(0.9174335377258981, 0.04670147493647135)","(0.9172774669906285, 0.046595744228128406)","(0.9178796090577673, 0.04577219656502155)","(0.9185377252559702, 0.04578457937003352)","(0.9185503286492093, 0.04578098572059959)","(0.9336167909780466, 0.0365190541307729)","(0.9338938081022674, 0.03693504591442209)","(0.933406351036038, 0.03713088930169547)","(0.9344256183262161, 0.03713915478844294)","(0.9344140570310916, 0.03713409646035414)","(0.936159392842629, 0.03649949164906839)","(0.9358737434860567, 0.03660937517347622)","(0.9358483943106789, 0.036604096402490405)","(0.9358941931504102, 0.036613684263952194)"
sfs(rf),"(0.8285437579574009, 0.041361744031381265)","(0.8638472710565095, 0.05791434150615491)","(0.8788165205459597, 0.05066425547232783)","(0.8972601112635576, 0.048541109649769605)","(0.8995296348086124, 0.04836009717139472)","(0.9018355728096082, 0.049203867620740145)","(0.9126982044584466, 0.043504615621140885)","(0.9115477873705509, 0.04361666409339565)","(0.912113673456953, 0.042255860199866754)","(0.9125183954121946, 0.042525385941118585)","(0.9123622536117086, 0.04201546475361861)","(0.914981459802618, 0.039828036025694305)","(0.9157684041402809, 0.039796705359259964)","(0.9155570423319975, 0.039333062741931886)","(0.9157905626737246, 0.03952500603702829)","(0.9154560662606895, 0.0392307715943001)","(0.9155247648461907, 0.03893754176685811)","(0.9154094692847083, 0.03983671396132148)","(0.9151123687250784, 0.039544395460256204)","(0.915740822617615, 0.03902444080847837)","(0.9146643156772658, 0.0410329817105646)","(0.9149688893884178, 0.041509061896466116)","(0.9191805936173164, 0.038727491795513005)","(0.9191702007999922, 0.03873019934434877)","(0.9191805936173164, 0.038727491795513005)","(0.9191702007999922, 0.03873019934434877)","(0.9191702007999922, 0.03873019934434877)","(0.9190730496022785, 0.03876567883908033)","(0.919270438216153, 0.038688225170968746)","(0.9192600407633524, 0.03869092170865413)","(0.9175631409668243, 0.03849281160081126)","(0.9206751246460086, 0.040597889034334034)","(0.9202606431529062, 0.04097431105833164)","(0.9212537154139587, 0.04578009175610297)","(0.9211114478881679, 0.045559173061640174)","(0.9347978671868654, 0.036562227865867825)","(0.934995267028756, 0.036300000342756815)","(0.9357010339828584, 0.0365467131391764)","(0.9358941931504102, 0.036613684263952194)"
sfs(lr),"(0.8424980069524093, 0.12522635113491432)","(0.8335098022111362, 0.06983924529917326)","(0.8500881844029775, 0.06113191813025524)","(0.849316656316077, 0.06489718435529158)","(0.8782352319808948, 0.05451058506388594)","(0.87404265474499, 0.056584215960440415)","(0.8746353019930051, 0.05683970193810012)","(0.8727447532396674, 0.05612333326510993)","(0.8713514319577049, 0.05934665165229621)","(0.8748226577770154, 0.0606241848460445)","(0.8815514237344327, 0.059293651896071824)","(0.9163937719368682, 0.03848078706461255)","(0.9157567749838827, 0.04082736934544156)","(0.9156770240850195, 0.039568148807246545)","(0.9213605732139485, 0.04102398570411256)","(0.9235179937943165, 0.03994620936578591)","(0.9226667088381244, 0.04050872666390454)","(0.9235018386854985, 0.040232601390117015)","(0.9235934089381843, 0.03951921149832137)","(0.9235934089381843, 0.03951921149832137)","(0.9238493795372695, 0.039172434973402726)","(0.9224483339316585, 0.03991741565055654)","(0.9224483339316585, 0.03991741565055654)","(0.9225019349223207, 0.03984495281758673)","(0.91953181227488, 0.04256445095475413)","(0.9197031356223334, 0.042413567326114336)","(0.9227269780952693, 0.04192183175610661)","(0.922746125601875, 0.041897285150355054)","(0.92330466485248, 0.039609408731729814)","(0.9207430374569825, 0.041875673912584226)","(0.9214215127576075, 0.04076249613253865)","(0.9210521004884772, 0.04078000368206165)","(0.9202211485415948, 0.04100362905543146)","(0.9214004820498097, 0.040789333244817726)","(0.9211985767602711, 0.04475024254292727)","(0.9206973791256449, 0.04578700837212042)","(0.9215019399194112, 0.04538330239987237)","(0.9213743318659595, 0.045652075069107255)","(0.9358941931504102, 0.036613684263952194)"
im(rf),"(0.5940963139835775, 0.14664715538759227)","(0.8102588486308161, 0.0934454433219346)","(0.9041416260741414, 0.04510447504832026)","(0.9117599990303598, 0.04294363016336154)","(0.9295317104288596, 0.03634046806226931)","(0.9334780410203887, 0.03359364981906606)","(0.9346551135123937, 0.03400664083299783)","(0.9353595673024978, 0.03208725797678745)","(0.9318380725971934, 0.0365424598875132)","(0.9352102885464173, 0.035318983335472225)","(0.9351266652360586, 0.035589070552471076)","(0.9334650095850364, 0.03681789344629678)","(0.933970429579605, 0.035013483009559525)","(0.9337461976372484, 0.03622664486351928)","(0.9334252585906133, 0.03566434693428356)","(0.9340978530835026, 0.03557503723466355)","(0.9346839455836001, 0.03587323213984266)","(0.9351950676682718, 0.036060810195713514)","(0.9340410631749169, 0.036707518732219294)","(0.9341290415865012, 0.03633217079404269)","(0.933710036774416, 0.03572773998883852)","(0.9328175497337792, 0.035720125012598816)","(0.933889991255465, 0.03589692190094874)","(0.9343679306154234, 0.03618107557236991)","(0.9343679306154234, 0.03618107557236991)","(0.9343679306154234, 0.03618107557236991)","(0.9335741526751334, 0.036336086639032567)","(0.9339279221568606, 0.03629530969595628)","(0.9351474421209117, 0.036517247383026336)","(0.9341268774315289, 0.03709164993406189)","(0.9338938081022674, 0.03693504591442209)","(0.9338938081022674, 0.03693504591442209)","(0.9333808107999655, 0.037126350060444145)","(0.9344140570310916, 0.03713409646035414)","(0.9344255087318636, 0.03712596397651853)","(0.936159392842629, 0.03649949164906839)","(0.936159392842629, 0.03649949164906839)","(0.9358712962123285, 0.03660886251877457)","(0.9358737434860567, 0.03660937517347622)"
im(lr),"(0.6939385764893128, 0.08372822659913183)","(0.7467220200663249, 0.05823004368188318)","(0.802527675288651, 0.05929280382794294)","(0.8043026279698481, 0.05977075537927882)","(0.8036673173086207, 0.05755089761324284)","(0.8194129365854085, 0.07005308804641502)","(0.8329001108954905, 0.06482342273456565)","(0.8556267955244345, 0.04934311047515911)","(0.8923396490528954, 0.04312127561470949)","(0.8969039913296605, 0.044346490989141465)","(0.896482591039289, 0.04200603872662495)","(0.897218315826442, 0.0410723840182634)","(0.8983185214176587, 0.04184773312977375)","(0.8971533935989185, 0.042642689699369414)","(0.8989592924817774, 0.041615941749651934)","(0.9129440970986498, 0.041752472499370766)","(0.912962930851438, 0.04046489065888761)","(0.9129004090156748, 0.04066202573120252)","(0.9245221220439225, 0.03818587358518828)","(0.9258202008580602, 0.03541218276688533)","(0.9267443012345508, 0.03575368650455158)","(0.9267443012345508, 0.03575368650455158)","(0.9287537662315776, 0.033008505867731276)","(0.9268977150993125, 0.035479072482244654)","(0.9281551851086738, 0.035816714507647444)","(0.9277993302471176, 0.0368938302492812)","(0.9275985953360344, 0.036446309966172534)","(0.934089378803195, 0.037671557152626635)","(0.932325319542009, 0.03853268089959557)","(0.9325881398602022, 0.038612308140309255)","(0.9329655634724942, 0.038199169544331106)","(0.9328111738894151, 0.03829823959636398)","(0.935833930565402, 0.03720783696047618)","(0.9356915422840029, 0.03736545165524888)","(0.9353666974483824, 0.03712601512245782)","(0.936283458672615, 0.036524876353184514)","(0.936262940260894, 0.036520419702050604)","(0.9358075844613017, 0.037025973420413)","(0.9358737434860567, 0.03660937517347622)"
