,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
chi2,132.35357785224915,128.48236060142517,126.32501697540283,124.98125410079956,126.35168385505676,131.51827907562256,131.18826413154602,127.90965580940247,127.02319240570068,126.99445748329163,135.27885675430298,131.17140555381775,126.91259264945984,126.52364706993103,123.94986462593079,122.63771557807922,126.84156346321106,128.87462973594666,130.27897834777832,131.77538418769836,129.46546292304993,128.08330392837524,128.24182653427124,133.49838161468506
ANOVA,127.78753447532654,131.0336856842041,130.21892476081848,127.47035956382751,125.11169242858887,135.24999523162842,130.36195254325867,133.01071858406067,131.8298478126526,129.09565377235413,129.91412568092346,127.28598594665527,126.79585003852844,127.22825288772583,129.50254368782043,125.98719906806946,134.03459358215332,134.37416577339172,132.34205722808838,125.62307238578796,125.68733501434326,127.95035433769226,126.01388740539551,126.40559482574463
mutualinfo,125.92683720588684,129.29625749588013,129.2528736591339,128.53262782096863,128.2093424797058,127.0509717464447,128.98741602897644,125.7201943397522,122.1370587348938,123.50280833244324,123.11349558830261,126.1698591709137,127.72809314727783,126.97802734375,128.58381247520447,130.00567722320557,146.7915904521942,124.82004761695862,124.5073516368866,124.32349491119385,124.45519304275513,129.84339261054993,134.5395097732544,131.11767411231995
sfs(rf),127.26087784767151,124.17771077156067,128.03678560256958,128.27460050582886,129.418847322464,128.99788641929626,127.92966938018799,126.15848159790039,127.04076027870178,131.39935278892517,135.06076765060425,130.61877632141113,131.4390733242035,128.40370392799377,132.30743503570557,129.51391768455505,128.884015083313,130.84599924087524,125.87427806854248,123.86062836647034,131.03338623046875,125.94199061393738,131.0425796508789,129.63320446014404
sfs(lr),129.09041237831116,133.09738993644714,127.01639175415039,125.55828142166138,125.25631880760193,127.91074228286743,127.07057476043701,127.74296236038208,125.97355389595032,125.11161804199219,126.56329369544983,134.3526782989502,127.08439707756042,124.28695297241211,125.29323220252991,123.47762417793274,123.83438873291016,123.18204617500305,125.27824807167053,128.11089515686035,128.11513566970825,125.66595315933228,130.91677284240723,131.70011019706726
im(rf),126.17192959785461,128.84766840934753,149.3191192150116,124.92414331436157,130.07804322242737,125.6501452922821,130.39317727088928,126.70918321609497,128.48580408096313,127.52417635917664,129.60289549827576,129.28778719902039,128.00306010246277,129.80900406837463,130.35330438613892,132.44815039634705,126.76973938941956,127.80650186538696,125.44020795822144,134.7351279258728,145.79087281227112,126.11178660392761,136.42553567886353,125.94674587249756
im(lr),129.4186933040619,129.48085236549377,126.19100069999695,124.58394861221313,125.01253271102905,127.6308376789093,154.36466002464294,164.05782008171082,162.13104128837585,145.80386304855347,127.33616137504578,130.47741055488586,135.7528748512268,134.46024441719055,128.8755419254303,130.2857677936554,128.91545629501343,128.5722918510437,125.91798782348633,124.70586490631104,126.84699988365173,134.22154450416565,131.7466311454773,131.5139832496643
