,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
chi2,0.05385637283325195,0.20507097244262695,0.21763825416564941,0.2803788185119629,0.3439979553222656,0.4223787784576416,0.4377560615539551,0.49507713317871094,0.6107935905456543,0.7655806541442871,0.8627150058746338,1.0177764892578125,0.985339879989624,1.1125664710998535,1.2114708423614502,1.238788366317749,1.397723913192749,1.3526458740234375,1.7304112911224365,2.0325326919555664,1.9426190853118896,2.1453866958618164,1.811316728591919,2.033606767654419,2.044430732727051,2.129648208618164,2.0981521606445312,2.174818277359009,2.258260488510132,2.267214059829712,2.4686877727508545,2.4344546794891357,2.575211524963379,2.5485172271728516,2.704530954360962,2.542978048324585,2.59128737449646,2.8784854412078857,2.565167188644409
ANOVA,0.0578458309173584,0.17775940895080566,0.20548105239868164,0.2852315902709961,0.3326303958892822,0.37947821617126465,0.4582090377807617,0.5238864421844482,0.619610071182251,0.8431267738342285,0.6843018531799316,0.7809402942657471,0.8579602241516113,1.0332322120666504,1.2578213214874268,1.2077980041503906,1.2756307125091553,1.7024338245391846,1.6495330333709717,1.6681694984436035,1.778480052947998,1.7318966388702393,1.9833331108093262,1.9692330360412598,1.9597218036651611,2.2418007850646973,2.1258115768432617,2.3789865970611572,2.43636155128479,2.2722995281219482,2.366884469985962,2.448911666870117,2.468421697616577,2.5471549034118652,2.960353136062622,2.589373826980591,2.726944923400879,2.8348143100738525,2.720231533050537
mutualinfo,0.0718083381652832,0.22742128372192383,0.253354549407959,0.2703068256378174,0.2703089714050293,0.31615447998046875,0.3482685089111328,0.37995481491088867,0.45979952812194824,0.5557489395141602,0.7001266479492188,0.7160835266113281,0.7799167633056641,0.975433349609375,1.3526389598846436,1.2396821975708008,1.3029961585998535,1.144963026046753,1.3545715808868408,1.7027254104614258,1.3985159397125244,1.5550363063812256,1.732393741607666,1.7482914924621582,1.7223577499389648,1.8306047916412354,1.8124017715454102,2.1173315048217773,2.0181081295013428,2.2068700790405273,2.638575792312622,2.3280813694000244,2.574113130569458,2.5960264205932617,2.5472114086151123,2.5706660747528076,2.7386720180511475,2.8945300579071045,2.7038300037384033
sfs(rf),0.07280373573303223,0.24238324165344238,0.22243523597717285,0.26783323287963867,0.28523755073547363,0.3181800842285156,0.34903740882873535,0.41215968132019043,0.5870277881622314,0.5726718902587891,0.6043555736541748,0.7322137355804443,0.7901222705841064,0.9554436206817627,1.2387149333953857,1.2407081127166748,1.306504249572754,1.3673412799835205,1.4661083221435547,1.4511172771453857,1.5119245052337646,1.5428979396820068,1.6854581832885742,1.5289092063903809,1.7981884479522705,1.811152458190918,1.9109153747558594,2.0155773162841797,2.1652333736419678,2.422520160675049,2.293832778930664,2.371652841567993,2.550175666809082,2.4205217361450195,2.6259987354278564,2.6748154163360596,2.7307205200195312,2.565107583999634,2.682847023010254
sfs(lr),0.06482744216918945,0.20348358154296875,0.22140741348266602,0.2543184757232666,0.23839044570922852,0.3151586055755615,0.4079091548919678,0.41292357444763184,0.3969380855560303,0.6512863636016846,0.6981315612792969,0.762988805770874,0.8596994876861572,0.8258190155029297,1.0811054706573486,1.1639142036437988,1.3544042110443115,1.480067491531372,1.239682674407959,1.3513820171356201,1.6516094207763672,1.6416120529174805,1.4102287292480469,1.751312017440796,1.7353849411010742,1.9746859073638916,1.8331246376037598,2.1492152214050293,2.086416244506836,2.1981465816497803,2.176147222518921,2.405564308166504,2.435509204864502,2.676837682723999,2.6937978267669678,2.6408965587615967,2.7725796699523926,2.6938185691833496,2.73468279838562
im(rf),0.06582498550415039,0.2014603614807129,0.20647597312927246,0.2204139232635498,0.2543487548828125,0.3341047763824463,0.3341057300567627,0.3810110092163086,0.5066449642181396,0.6372933387756348,0.6832013130187988,0.8267872333526611,0.8287827968597412,0.9095690250396729,0.811798095703125,1.1459615230560303,1.2077977657318115,1.2087719440460205,1.3693630695343018,1.5099287033081055,1.461324691772461,1.5558662414550781,1.5298757553100586,1.7673001289367676,1.6824662685394287,1.75433349609375,2.0545036792755127,1.8310730457305908,2.037576198577881,1.8949015140533447,2.39858078956604,2.3248062133789062,2.733686685562134,2.5960519313812256,2.567128896713257,2.6608493328094482,2.8832855224609375,3.075803518295288,2.8054563999176025
im(lr),0.08078503608703613,0.21744775772094727,0.2373948097229004,0.30222058296203613,0.29919886589050293,0.33313751220703125,0.39696621894836426,0.5525543689727783,0.6203408241271973,0.6193153858184814,0.7320709228515625,0.7789533138275146,0.8746597766876221,1.0352294445037842,0.8427166938781738,1.0412483215332031,1.1269829273223877,1.0821034908294678,1.1628766059875488,1.401261568069458,1.3194396495819092,1.6256511211395264,1.574784517288208,1.606701135635376,1.6854894161224365,1.9288380146026611,1.7672982215881348,1.9587295055389404,2.0226175785064697,2.147282361984253,2.276876449584961,2.404595136642456,2.580066204071045,2.5781304836273193,2.5960347652435303,2.5950722694396973,2.614004373550415,2.7079274654388428,2.7396678924560547
