,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
union,"(0, 0)","(0.863097861001421, 0.019144911318421214)","(0.891105246259252, 0.011839650978490466)","(0.8849361936610103, 0.012708908619342369)","(0.8746964364761416, 0.019872937227254403)","(0.882347233306079, 0.02087513684915596)","(0.8698045677834088, 0.024911647497008683)","(0.8659981924683636, 0.025287245009348116)","(0.8787715086917913, 0.02469514785676866)","(0.8693836027752901, 0.022740498445426947)","(0.8802973305100299, 0.016957707301665636)","(0.8709630530532602, 0.024850560017176507)","(0.876550458166834, 0.0160472004724663)","(0.8762297902817074, 0.018861652298732375)","(0.8835538389772586, 0.021521049914730025)","(0.8897665028630289, 0.014144513472773875)","(0.8760493740478628, 0.022495680053703743)","(0.87120993573548, 0.022939342085938518)","(0.887676749068272, 0.020603268975154642)","(0.8847113621346228, 0.020402201966433768)","(0.8825997839041699, 0.02060245400939299)","(0.882456928878739, 0.024367547051450583)","(0.8759777967742808, 0.022905344506863528)","(0.8861935219738667, 0.020153004940266627)"
intersection,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0.7735208486804388, 0.0014343853342792777)","(0.733112446501728, 0.0028962456280301743)","(0.8092073288452871, 0.019711149629895723)","(0.7889439692674414, 0.015541299178281162)","(0.7911892218527081, 0.020609775310834216)","(0.774859837170474, 0.009422112509374888)","(0.8201356173961702, 0.012329321940074744)","(0.8331540349201296, 0.017958147484270343)","(0.8244629483506722, 0.015849184844176935)","(0.8198560820968985, 0.004356934265853502)","(0.8584666022856924, 0.018622049507116357)","(0.865668274179834, 0.021347497859808537)","(0.870084518145366, 0.023165397394889924)"
quorum,"(0, 0)","(0, 0)","(0, 0)","(0.8245732132459139, 0.0014039002949428408)","(0.8249575678202927, 0.0033755259943239538)","(0.8343223360949592, 0.01331200332677333)","(0.8306801746203311, 0.010253740409033)","(0.848445596123088, 0.011806892353198832)","(0.8452696048005575, 0.012875139788411254)","(0.8445458178435624, 0.012449103433868337)","(0.8430977673278907, 0.011417520966889073)","(0.8414303445798603, 0.020115633283682165)","(0.8450343126266237, 0.015848682584516684)","(0.8511315359615736, 0.011210459090518916)","(0.8449437417231191, 0.007101773211887603)","(0.8487274262756255, 0.01308721781366285)","(0.8683791222734086, 0.023925795389852213)","(0.8708652632312249, 0.02219857237199948)","(0.8647861096163982, 0.026266857196247943)","(0.872401380568838, 0.02385956390315983)","(0.8527015199531057, 0.021458247924306097)","(0.8831257415121441, 0.021010686316683465)","(0.8830417461366563, 0.01516830114021629)","(0.8680461767542722, 0.02205781929023205)"
