,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
chi2,"(0.6989013650676813, 0.0027824323155599675)","(0.7083338575858151, 0.009506865029015424)","(0.7824579518483198, 0.021370872201158655)","(0.8143033472294652, 0.004717484232749751)","(0.8133186790397277, 0.0056142328941171625)","(0.8175883406709389, 0.0009719169509693539)","(0.8250659120271614, 0.011435924989344065)","(0.805142822719241, 0.0055308734060043096)","(0.8477180165160011, 0.007983973533110115)","(0.8334044209220689, 0.013758759495262592)","(0.8331921331394347, 0.011023082438247228)","(0.8408432694351093, 0.00947199803215263)","(0.871725436896498, 0.011072080737147405)","(0.8664522376379576, 0.025199125400102627)","(0.8774435182958177, 0.020872999540013447)","(0.8790654366693864, 0.026050225654998538)","(0.8872008418325962, 0.021346590624108683)","(0.8716083317579816, 0.02210962191859411)","(0.8783075896776154, 0.022073021885786966)","(0.8863934099788582, 0.01733181299415567)","(0.8836184179605274, 0.021310837137736568)","(0.8797040691517752, 0.02291520589583671)","(0.8848555716201684, 0.021166879256242367)","(0.8893440825984129, 0.014507242592673716)"
ANOVA,"(0.8405149711470218, 0.0017977546184639722)","(0.8325805509677142, 0.01653448366159607)","(0.8224326888753065, 0.021754218816152218)","(0.843610019174149, 0.008682314592730372)","(0.8432378445875998, 0.01137991127806886)","(0.8459266461199896, 0.00835551268897561)","(0.8445609607046671, 0.010937451460234452)","(0.8381265772359052, 0.008106079265669874)","(0.8392443608151904, 0.012348134299281676)","(0.8619448997030708, 0.010919747104119908)","(0.8725593929660835, 0.011964403475245055)","(0.8583407361139379, 0.026014520644231612)","(0.8742964236405595, 0.01408525086615495)","(0.872534355286588, 0.021255251291008373)","(0.8772105590744997, 0.019220035120005727)","(0.8755933270698548, 0.021548550571390906)","(0.8857625056629429, 0.02060495171382848)","(0.8788955873171899, 0.021065346030528363)","(0.8760190624544304, 0.022518837104855607)","(0.8743164451423752, 0.022401271880490948)","(0.8845826465705919, 0.023593382938766658)","(0.8905568499031882, 0.015412608237470092)","(0.8827809758732623, 0.02190666507966624)","(0.8762804713759215, 0.02181568012357878)"
mutualinfo,"(0.6753832446012411, 0.020050268533785113)","(0.6946504440749075, 0.0070508386660574)","(0.7372746555191092, 0.03420521954663985)","(0.7404914273386161, 0.0016612235324365333)","(0.8000292985834083, 0.01781051155990424)","(0.7969986141830727, 0.002390853499322476)","(0.8075543314738225, 0.013247384708126671)","(0.8136016630372026, 0.01290686142599805)","(0.8158227969205679, 0.01365935085549234)","(0.8028994938053391, 0.013983249765375507)","(0.8132433758489729, 0.014671127822640816)","(0.8220826573667944, 0.01930368630847686)","(0.8259864952292203, 0.01164991862414083)","(0.8257202749182395, 0.008381941612319307)","(0.821176279872698, 0.009093809000310121)","(0.8603599315689369, 0.014622048820576765)","(0.8817752015439044, 0.004683608425233445)","(0.86970903052186, 0.008032972640695052)","(0.8685666164052007, 0.016836641480986046)","(0.8710012427275446, 0.01756974545886329)","(0.8737428155545194, 0.02224056118182445)","(0.8689038421420203, 0.021950748307899025)","(0.8701648000275644, 0.02337311076215349)","(0.8850022534738253, 0.02611981425255717)"
sfs(rf),"(0.8245732132459139, 0.0014039002949428408)","(0.8410350872671881, 0.009613022304345766)","(0.8338580538013398, 0.009771321789149377)","(0.8328848669704654, 0.008122669901335639)","(0.8530242355603642, 0.01338634289375206)","(0.8411807178076034, 0.018826437262301488)","(0.8464926401721309, 0.013961319929480557)","(0.845177749640083, 0.012000217497404554)","(0.8746522115455049, 0.010893136112960432)","(0.8575235090699864, 0.007999591432287768)","(0.8613211042321396, 0.015771668152166088)","(0.8417193405938767, 0.012179777913529774)","(0.8427017231107321, 0.0064620420147634555)","(0.8484441237093078, 0.01464843479380648)","(0.8367492869335041, 0.01031383861810588)","(0.841907045223388, 0.008680846155735682)","(0.8764997993018826, 0.008972036556210119)","(0.8696584490998397, 0.018961222696982732)","(0.8648160850896083, 0.01617209813082299)","(0.8569078864232242, 0.019090305782125144)","(0.8898769727081579, 0.021636497873500124)","(0.8871844529945099, 0.02358038837388163)","(0.888765168366966, 0.020499461499242)","(0.8689889356169906, 0.015812611994424634)"
sfs(lr),"(0.8245732132459139, 0.0014039002949428408)","(0.8246109713688131, 0.0014652182749141961)","(0.8256512962297826, 0.003559913409898797)","(0.8253790275905679, 0.0039819770397804734)","(0.8458792315366346, 0.008178716192774584)","(0.8505280219176073, 0.007418179266180593)","(0.8450604345754533, 0.005575180547145492)","(0.8426117110442453, 0.007744690738690395)","(0.8432398427326593, 0.008842613644516002)","(0.8473093674590171, 0.010851371063371279)","(0.8524304097084979, 0.009519590248812802)","(0.8587010300155665, 0.017648953430817342)","(0.844172628270569, 0.012542970251432405)","(0.8545401582936337, 0.013386977169271768)","(0.8518574475812176, 0.012599818909582535)","(0.8565325203661166, 0.015110210259284714)","(0.8514461536742439, 0.012036706107808302)","(0.8428028000145522, 0.0105897331629502)","(0.8387904382558921, 0.009919434382457569)","(0.8425485956366952, 0.006076708258227758)","(0.8676747074449956, 0.021306041335932148)","(0.8697085005942121, 0.02160650933723619)","(0.8777346119408012, 0.02332774776574427)","(0.8750169818091373, 0.021106239681115295)"
im(rf),"(0.7197864418159726, 0.0024875936244683683)","(0.8318192390204888, 0.0035600603585167908)","(0.8478424246844567, 0.00617965770210154)","(0.8407252523919704, 0.013568061618071225)","(0.8435420287775048, 0.016732601375711496)","(0.8380922222983489, 0.007042714016337671)","(0.8596763115731051, 0.017810473336873398)","(0.8471057423987689, 0.011534635430808246)","(0.8471307568753991, 0.015542276940056048)","(0.8408523427801947, 0.020255107770417318)","(0.8579788513427822, 0.01918151016585839)","(0.8489169103653103, 0.016210695061430087)","(0.842819573369774, 0.012743853154770895)","(0.8372914876874011, 0.00860294553108828)","(0.8463551478116147, 0.014123356726497172)","(0.8431943457080203, 0.012866360380718114)","(0.8587811119486941, 0.01844928084529972)","(0.8456952196438842, 0.013462850923163284)","(0.8745967323611472, 0.019938024977822717)","(0.8721028386870066, 0.017211736878655206)","(0.8650702493420713, 0.019828210016603152)","(0.8750325056595788, 0.021698110947592553)","(0.8847733167859154, 0.022703724219382406)","(0.8810594466894643, 0.02189259408137956)"
im(lr),"(0.7061028354084773, 0.008520751766213926)","(0.7809005367932398, 0.03995243718373926)","(0.8082619307178545, 0.014535910758365628)","(0.831258815262867, 0.016898980350094867)","(0.827286132437034, 0.013928402138069514)","(0.832354845722717, 0.027193476871243065)","(0.8326406389110599, 0.009297071432604548)","(0.8420373082184384, 0.0041604616212625395)","(0.8385404247298511, 0.027509070152663122)","(0.8561835128897377, 0.013357218021808543)","(0.8392969111869538, 0.030195250136363715)","(0.8607443296930706, 0.03287130356861726)","(0.8750663561035109, 0.01963394665235254)","(0.884316503267147, 0.011624625067613057)","(0.8750265797711541, 0.024436016765209016)","(0.8901244658967213, 0.009441342057233201)","(0.8945493906860216, 0.002424679921356643)","(0.8832804839694646, 0.017285410111311576)","(0.8856965463448361, 0.017787008376627028)","(0.8797399357861849, 0.020051640551431885)","(0.8864997256267986, 0.0210475914980971)","(0.8814001486088927, 0.01833929186923357)","(0.8882196129992481, 0.022248725559023318)","(0.8784498127901426, 0.021713278950752507)"
