,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
chi2,"(0.9630605291154903, 0.02058032311248582)","(0.9874745083617891, 0.012989675028610568)","(0.9874157786700231, 0.01300691833771927)","(0.9874121422164948, 0.013003282368211173)","(0.9876168719909213, 0.012671681883648474)","(0.988017026548121, 0.012533132874633543)","(0.9880778430728592, 0.012553196860960692)","(0.9880806536829457, 0.012546681832647772)","(0.9879502518657162, 0.012479981309040544)","(0.9893274097822505, 0.011452259098087402)","(0.9893261701050999, 0.0114522885488953)","(0.9893198822588397, 0.01145048837755994)","(0.9893198678038267, 0.01145101609936003)","(0.9893211382763072, 0.011451474506253327)","(0.9895922883373041, 0.011489602595904482)","(0.9895922883373041, 0.011489602595904482)","(0.9895910311624654, 0.011489232924252888)","(0.9895888794077651, 0.011477042306332745)","(0.9896396636067447, 0.01147272106403597)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896421852884428, 0.011473927586064275)","(0.9896383757751037, 0.01147241457010183)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)"
ANOVA,"(0.9630605291154903, 0.02058032311248582)","(0.9874745083617891, 0.012989675028610568)","(0.987439641124787, 0.012994894715354578)","(0.9874121422164948, 0.013003282368211173)","(0.9876168719909213, 0.012671681883648474)","(0.988017026548121, 0.012533132874633543)","(0.988001316599512, 0.012519838832035304)","(0.9880806536829457, 0.012546681832647772)","(0.9880806536829457, 0.012546681832647772)","(0.9880756491841656, 0.012544972471327255)","(0.9879311876508297, 0.012474820475701719)","(0.9893198822588397, 0.01145048837755994)","(0.9893223779379199, 0.011451444927441939)","(0.9895922883373041, 0.011489602595904482)","(0.9895922883373041, 0.011489602595904482)","(0.9895922883373041, 0.011489602595904482)","(0.9895922883373041, 0.011489602595904482)","(0.9895888794077651, 0.011477042306332745)","(0.9896396636067447, 0.01147272106403597)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)"
mutualinfo,"(0.9867567347200067, 0.013503703901198027)","(0.9867567347200067, 0.013503703901198027)","(0.9867554783288138, 0.013504233628054934)","(0.9868003671928826, 0.013416309949897618)","(0.9874383855655703, 0.012995260592440164)","(0.9876577806754891, 0.012747324786470312)","(0.9853094205587836, 0.012171960169476394)","(0.9853058081050363, 0.012172989112939228)","(0.9880715844454577, 0.012551171845767362)","(0.9883027084446999, 0.012633051853691525)","(0.988311256220233, 0.012610604293202533)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9882906194436043, 0.012589172269541817)","(0.9882918751278842, 0.012589318627383656)","(0.9882918628643432, 0.012589420476908746)","(0.9882918859368812, 0.012589425087165297)","(0.9882990399763141, 0.012564764739063544)","(0.9896396712453882, 0.011471940321359647)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896371187614872, 0.011471420851771687)"
sfs(rf),"(0.9867567347200067, 0.013503703901198027)","(0.9867554783288138, 0.013504233628054934)","(0.9874732528752709, 0.012990029884579783)","(0.9874383855655703, 0.012995260592440164)","(0.9876577806754891, 0.012747324786470312)","(0.9876462028725295, 0.012752731975444917)","(0.9853058081050363, 0.012172989112939228)","(0.9856901240147188, 0.012122758025614072)","(0.9856913544397431, 0.012122776100539337)","(0.9880756491841656, 0.012544972471327255)","(0.9880769252563137, 0.012545297143503045)","(0.9880756491841656, 0.012544972471327255)","(0.9880756491841656, 0.012544972471327255)","(0.9880756491841656, 0.012544972471327255)","(0.9880756491841656, 0.012544972471327255)","(0.9880782411433078, 0.012542435089102659)","(0.9894464450802681, 0.011515363239815515)","(0.9894519250940716, 0.011501883551442233)","(0.9894519250940716, 0.011501883551442233)","(0.9894519250940716, 0.011501883551442233)","(0.9894519250940716, 0.011501883551442233)","(0.9894456149535247, 0.01149800873374095)","(0.989310179530538, 0.011430458908391056)","(0.989580070001912, 0.01146875831343755)","(0.9896371187614872, 0.011471420851771687)"
sfs(lr),"(0.9867567347200067, 0.013503703901198027)","(0.9874745083617891, 0.012989675028610568)","(0.987439641124787, 0.012994894715354578)","(0.9874121422164948, 0.013003282368211173)","(0.9876436917909862, 0.012750988802346753)","(0.9876561283182342, 0.012728491337682746)","(0.9876561283182342, 0.012728491337682746)","(0.9876536169025034, 0.012728032801618393)","(0.9876536169025034, 0.012728032801618393)","(0.9876536169025034, 0.012728032801618393)","(0.9876536169025034, 0.012728032801618393)","(0.9876536169025034, 0.012728032801618393)","(0.9876536169025034, 0.012728032801618393)","(0.9876564168508031, 0.012720825282995108)","(0.9883877425673295, 0.011975041498830805)","(0.9883877425673295, 0.011975041498830805)","(0.9883948810404821, 0.011951881442571116)","(0.9883935899087618, 0.011952177041599694)","(0.9883948810404821, 0.011951881442571116)","(0.9893920742689183, 0.011468566541449949)","(0.9898403287305525, 0.011552796703812226)","(0.9898340116851122, 0.011549083481385546)","(0.9897085244175736, 0.011486349788502817)","(0.9895813271602687, 0.01146912565870597)","(0.9896383757751037, 0.01147241457010183)"
im(rf),"(0.9867567347200067, 0.013503703901198027)","(0.9867554783288138, 0.013504233628054934)","(0.9874732528752709, 0.012990029884579783)","(0.9874383855655703, 0.012995260592440164)","(0.9876577806754891, 0.012747324786470312)","(0.9876462028725295, 0.012752731975444917)","(0.9853058081050363, 0.012172989112939228)","(0.9856901240147188, 0.012122758025614072)","(0.9880756491841656, 0.012544972471327255)","(0.9883099752580262, 0.01261036602854854)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9884286213655529, 0.012652915024116737)","(0.9882918751278842, 0.012589318627383656)","(0.9896325773663774, 0.011503368425433638)","(0.9896351298182193, 0.01150389026266917)","(0.9896351298182193, 0.01150389026266917)","(0.9896287680742258, 0.011501886585653948)","(0.9896371103030891, 0.011471494464928329)","(0.9896384057736309, 0.011471021718428984)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)","(0.9896383757751037, 0.01147241457010183)"
im(lr),"(0.8907926229574145, 2.8849245342861027e-06)","(0.9877600191727701, 0.012609901972815918)","(0.9877429668263412, 0.012614695095738137)","(0.9880796729749847, 0.012359543251683975)","(0.9892925892115821, 0.011631570129044552)","(0.9892765379719801, 0.011616880918547652)","(0.9894505953195656, 0.011504768151011233)","(0.9894531052473938, 0.011505609876566193)","(0.9894505614792799, 0.011504756816928597)","(0.9894482861211793, 0.011499628255189336)","(0.9893933625423108, 0.011469983527260561)","(0.9893895776067995, 0.01146758060563337)","(0.9893895776067995, 0.01146758060563337)","(0.9893908180776053, 0.011467581948927143)","(0.9894493984751069, 0.011500441964144719)","(0.98945065466642, 0.01150141734546632)","(0.9894519250940716, 0.011501883551442233)","(0.989325382198438, 0.011437532957793919)","(0.9895927467220638, 0.011475536504202088)","(0.9896409282590047, 0.01147293371503757)","(0.9896409282590047, 0.01147293371503757)","(0.9896371187614872, 0.011471420851771687)","(0.9896371187614872, 0.011471420851771687)","(0.9896383757751037, 0.01147241457010183)","(0.9896371187614872, 0.011471420851771687)"
