,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
union,"(0.9882747460594672, 0.012248694273247197, 3)","(0.988273490367825, 0.012248984962168117, 5)","(0.9882210751955556, 0.01224269147067208, 8)","(0.9883850499663517, 0.011980063268236373, 9)","(0.9893917324973573, 0.011480802675265153, 10)","(0.9893908636322214, 0.011468411737968217, 11)","(0.9893908636322214, 0.011468411737968217, 11)","(0.9894505799446925, 0.011503932276738797, 13)","(0.9893266218757605, 0.011437504241075962, 16)","(0.9895914899457328, 0.011474548570989127, 18)","(0.9895914899457328, 0.011474548570989127, 18)","(0.9895914899457328, 0.011474548570989127, 18)","(0.9895914899457328, 0.011474548570989127, 18)","(0.9895914899457328, 0.011474548570989127, 18)","(0.9896421852884428, 0.011473927586064275, 21)","(0.9896421852884428, 0.011473927586064275, 21)","(0.9896421852884428, 0.011473927586064275, 22)","(0.9896421852884428, 0.011473927586064275, 23)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896409282590047, 0.01147293371503757, 24)","(0.9896383757751037, 0.01147241457010183, 25)"
intersection,"(nan, nan, 0)","(nan, nan, 0)","(nan, nan, 0)","(nan, nan, 0)","(0.9867567347200067, 0.013503703901198027, 1)","(0.9870556113132135, 0.01327734227777804, 2)","(0.9870556113132135, 0.01327734227777804, 2)","(0.9870556113132135, 0.01327734227777804, 2)","(0.9876026402907664, 0.012830185306339824, 3)","(0.987588556383178, 0.012839002704230084, 4)","(0.9876561283182342, 0.012728491337682746, 6)","(0.9876561283182342, 0.012728491337682746, 6)","(0.9876536169025034, 0.012728032801618393, 7)","(0.9876536169025034, 0.012728032801618393, 7)","(0.9876536169025034, 0.012728032801618393, 8)","(0.9876536169025034, 0.012728032801618393, 9)","(0.9876536169025034, 0.012728032801618393, 9)","(0.9876536169025034, 0.012728032801618393, 9)","(0.9876536169025034, 0.012728032801618393, 10)","(0.9893917324973573, 0.011480802675265153, 12)","(0.9893921040874751, 0.011468412271188999, 14)","(0.9893921040874751, 0.011468412271188999, 15)","(0.9892817799661847, 0.011413096995845544, 19)","(0.9895940038651823, 0.01147590574095327, 21)","(0.9896383757751037, 0.01147241457010183, 25)"
quorum,"(0.9867567347200067, 0.013503703901198027, 1)","(0.9867567347200067, 0.013503703901198027, 1)","(0.9874745083617891, 0.012989675028610568, 2)","(0.987439641124787, 0.012994894715354578, 3)","(0.9876615465642413, 0.012747467836275983, 4)","(0.9876436917909862, 0.012750988802346753, 5)","(0.9853082889518456, 0.012172738062918863, 6)","(0.9856901240147188, 0.012122758025614072, 8)","(0.9856901240147188, 0.012122758025614072, 8)","(0.9880756491841656, 0.012544972471327255, 9)","(0.9880756491841656, 0.012544972471327255, 9)","(0.9880756491841656, 0.012544972471327255, 10)","(0.9880756491841656, 0.012544972471327255, 13)","(0.9880756491841656, 0.012544972471327255, 14)","(0.9897330220984658, 0.011559218392021614, 16)","(0.9897330220984658, 0.011559218392021614, 16)","(0.9895910311624654, 0.011489232924252888, 18)","(0.9895940038651823, 0.01147590574095327, 20)","(0.9895940038651823, 0.01147590574095327, 20)","(0.9896421852884428, 0.011473927586064275, 21)","(0.9896421852884428, 0.011473927586064275, 22)","(0.9896421852884428, 0.011473927586064275, 22)","(0.9896371187614872, 0.011471420851771687, 23)","(0.9896371187614872, 0.011471420851771687, 23)","(0.9896383757751037, 0.01147241457010183, 25)"
