,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
chi2,1100.735801935196,1017.504296541214,1057.014081954956,1104.1036055088043,1081.8726949691772,1076.688257932663,1074.7178304195404,1055.399612903595,1043.8123180866241,1048.4708607196808,1044.1730320453644,1048.7261593341827,1051.2028465270996,1092.9737632274628,1079.7543783187866,1077.8597748279572,1081.7186114788055,1085.3482801914215,1083.9777898788452,1026.0890579223633,1093.8618485927582,1110.9930393695831,1105.6775405406952,1108.891569852829,1097.2566635608673
ANOVA,1104.74707365036,1105.0169341564178,1105.8016428947449,1076.942816734314,1066.7395343780518,1077.6847434043884,1099.5290882587433,1104.812971830368,1095.833722114563,1063.4099850654602,1088.0600130558014,1101.8089985847473,1097.693858385086,1090.1663641929626,1092.9099638462067,1092.347379207611,1074.6226906776428,1058.8865928649902,1055.7294697761536,1058.0660285949707,1056.6166903972626,1092.1331195831299,1092.571004152298,1089.4375376701355,1065.8563969135284
mutualinfo,1047.308863401413,1049.497316122055,1054.2234222888947,1084.8035688400269,1077.958979845047,1076.2142202854156,1055.3023300170898,1049.3646278381348,1044.685708284378,1069.7750372886658,1089.6977767944336,1080.363216638565,1071.422699689865,1052.2575104236603,1047.4919667243958,1047.6742434501648,1073.4190270900726,1080.0308916568756,1079.2664411067963,1064.4832365512848,1050.0590896606445,1048.7856724262238,1048.7993450164795,1089.5296139717102,1083.3741779327393
sfs(rf),1077.3564732074738,1058.3496623039246,1045.9739782810211,1045.6369173526764,1052.1479053497314,1082.394068479538,1083.0088498592377,1075.45366024971,1054.1040391921997,1047.033751487732,1054.7008213996887,1082.4514603614807,1077.68497300148,1077.7164406776428,1054.3684906959534,1049.195253610611,1075.8866810798645,1082.3149573802948,1085.388958454132,1071.1670677661896,1049.057960987091,1049.5057275295258,1053.4618229866028,1050.4331386089325,1049.2928190231323
sfs(lr),1090.1364436149597,1090.1558470726013,1084.3901944160461,1065.3234298229218,1058.7652115821838,1090.9291696548462,1086.725533246994,1080.5434534549713,1059.6212646961212,1055.8893370628357,1051.4532613754272,1048.6323809623718,1051.511379957199,1073.3927154541016,1082.9176177978516,1078.4440026283264,1075.0894701480865,1051.7295887470245,1057.1819121837616,1053.8440022468567,1083.5573513507843,1093.2466497421265,1092.7251727581024,1073.2711362838745,1059.712114572525
im(rf),1059.0134544372559,1054.370596408844,1090.4336757659912,1083.2480461597443,1088.241128206253,1059.8875706195831,1056.2946021556854,1056.1034178733826,1067.1644065380096,1080.3390498161316,1078.7684586048126,1078.7015659809113,1058.046217918396,1053.7853801250458,1052.6510410308838,1077.8524227142334,1083.2224502563477,1083.9560680389404,1075.3876957893372,1054.0634064674377,1053.1224746704102,1053.5501353740692,1078.415810585022,1085.343979358673,1083.108365535736
im(lr),1068.3018555641174,1052.8202888965607,1053.5497643947601,1057.7404861450195,1091.388518333435,1082.3015613555908,1086.8597016334534,1060.4876160621643,1064.467937707901,1083.7894084453583,1083.9630212783813,1080.8681449890137,1055.453602552414,1050.365374326706,1054.3409111499786,1053.2575814723969,1051.2764039039612,1075.074045419693,1079.3840379714966,1066.7927014827728,1054.381945848465,1096.690352678299,1109.916820049286,1072.8133006095886,1058.5642366409302
