,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
chi2,"(0.9630605291154903, 0.02058032311248582)","(0.9867456794825806, 0.012020006785519092)","(0.9886317351384772, 0.012208104925732582)","(0.9883204737717561, 0.01230793777783061)","(0.9892843526333784, 0.012406182139835324)","(0.9903253304228079, 0.01034707297714195)","(0.9918286912532028, 0.009693839277602694)","(0.9916064706966452, 0.009453909236903176)","(0.9910889005280696, 0.009376316512734857)","(0.9908306872183811, 0.009216588213097744)","(0.9908306872183811, 0.009216588213097744)","(0.9953081768406978, 0.004287882342133646)","(0.9953329721113298, 0.004309459656109767)","(0.9951072386678257, 0.004658807787085591)","(0.9955304086327462, 0.004245779549257394)","(0.9955316678299484, 0.004245551655000401)","(0.9954682784371729, 0.004256606705882559)","(0.9953662944104693, 0.0042765820727412255)","(0.9949530137657282, 0.005880323759652003)","(0.993694890708132, 0.008294156879326657)","(0.993701226358251, 0.008295632202765996)","(0.9961101536347018, 0.003928884292450937)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960335824797213, 0.003963207621326261)"
ANOVA,"(0.9630605291154903, 0.02058032311248582)","(0.9867456794825806, 0.012020006785519092)","(0.9861598039057489, 0.011904441236307878)","(0.9883204737717561, 0.01230793777783061)","(0.9892843526333784, 0.012406182139835324)","(0.9903253304228079, 0.01034707297714195)","(0.9903488978763113, 0.010262277707569923)","(0.9916064706966452, 0.009453909236903176)","(0.9916165951289727, 0.009455489475454257)","(0.9950777127315457, 0.004458934285530802)","(0.9949827180719705, 0.004512154605272977)","(0.9953081768406978, 0.004287882342133646)","(0.9953217841052261, 0.0042959963106683425)","(0.9950704904124749, 0.004787090775553925)","(0.9955304086327462, 0.004245779549257394)","(0.9954682784371729, 0.004256606705882559)","(0.9954682784371729, 0.004256606705882559)","(0.9953662944104693, 0.0042765820727412255)","(0.9949530137657282, 0.005880323759652003)","(0.993694890708132, 0.008294156879326657)","(0.993701226358251, 0.008295632202765996)","(0.9935383293530814, 0.008259068781018728)","(0.9960335824797213, 0.003963207621326261)","(0.9960335824797213, 0.003963207621326261)","(0.9960335824797213, 0.003963207621326261)"
mutualinfo,"(0.9866856857565482, 0.013326190403522654)","(0.8893370794418223, 0.19759922986738965)","(0.9934783043520319, 0.006829362038249242)","(0.9917345879595759, 0.007163018960113413)","(0.9921366610121666, 0.007063492801834238)","(0.994129076832275, 0.005550258209181686)","(0.9949380832704818, 0.004765428060187886)","(0.9953368775383193, 0.004357873121573335)","(0.9948081111180098, 0.00482061324718692)","(0.9953065621324813, 0.004734197098260371)","(0.9952054180312379, 0.004666826862564192)","(0.9962770542179629, 0.003755797309188482)","(0.9961758305852282, 0.003719925458266671)","(0.9961758305852282, 0.003719925458266671)","(0.9960398058203994, 0.0037119856211066545)","(0.9960179110538695, 0.0037606275331892778)","(0.9960228835653508, 0.003763033178518419)","(0.9961670569926729, 0.0034853901633597195)","(0.9960157529116792, 0.0037138742735068186)","(0.9965196575377601, 0.0032629204555592777)","(0.996110119412012, 0.003931392882798214)","(0.9961126261244964, 0.003931884185967165)","(0.9961139136797914, 0.003929618059503025)","(0.9961101536347018, 0.003928884292450937)","(0.9960335824797213, 0.003963207621326261)"
sfs(rf),"(0.9866856857565482, 0.013326190403522654)","(0.9928981870353095, 0.007602785438181871)","(0.9934161272293321, 0.006951351926862681)","(0.9916284765433856, 0.007447935962717992)","(0.9939617581364516, 0.005271824901231881)","(0.9939941588291508, 0.005298528201928847)","(0.9947618867928505, 0.005107739557704633)","(0.9950228178941586, 0.00449554548499412)","(0.9951683007666519, 0.0044310825210945905)","(0.9950188179216856, 0.004738197277073784)","(0.9953010640038483, 0.00437834175176631)","(0.9952997729141397, 0.004380540975764202)","(0.9950535513272569, 0.00477006214051872)","(0.9951389476215684, 0.004639834886241317)","(0.9953314427531612, 0.004307479539037794)","(0.9948374834082786, 0.004809430790077373)","(0.995209319403634, 0.004536694356274028)","(0.9952830151330211, 0.004534857754383476)","(0.9952830151330211, 0.004534857754383476)","(0.9952830151330211, 0.004534857754383476)","(0.9952855993050992, 0.004530380328006189)","(0.9952975238408636, 0.004514073056463402)","(0.9951301542780321, 0.0045627148965378065)","(0.9954014914500424, 0.004213474950456559)","(0.9960336102480929, 0.003959784736574113)"
sfs(lr),"(0.9866856857565482, 0.013326190403522654)","(0.9867456794825806, 0.012020006785519092)","(0.9861598039057489, 0.011904441236307878)","(0.9883204737717561, 0.01230793777783061)","(0.98968006724958, 0.01039140647327322)","(0.9899027782567498, 0.01036685749557737)","(0.9898523431108689, 0.010317129309893269)","(0.9937791199140265, 0.0054760950048900366)","(0.9941860600856585, 0.005089786520966705)","(0.9937213554016203, 0.005530532707175565)","(0.9937200963691264, 0.005530628952192184)","(0.9937111772023342, 0.005510777059704671)","(0.994089304605632, 0.005313742692971281)","(0.9941226349245191, 0.005290080852672162)","(0.9938950950490753, 0.005204555190259559)","(0.9938988739812933, 0.005208804064421805)","(0.9941106086891682, 0.005191829634528063)","(0.9941118680278512, 0.0051917047002180885)","(0.9941106086891682, 0.005191829634528063)","(0.9947466817236517, 0.00494113697342482)","(0.9950650678975201, 0.005031208200472091)","(0.9948823684049181, 0.004985931510852881)","(0.9948888982190225, 0.004997434567660332)","(0.9954014914500424, 0.004213474950456559)","(0.9960348700350163, 0.0039609851094871504)"
im(rf),"(0.9866856857565482, 0.013326190403522654)","(0.9928981870353095, 0.007602785438181871)","(0.9934161272293321, 0.006951351926862681)","(0.9916284765433856, 0.007447935962717992)","(0.9939617581364516, 0.005271824901231881)","(0.9939941588291508, 0.005298528201928847)","(0.9947618867928505, 0.005107739557704633)","(0.9950228178941586, 0.00449554548499412)","(0.9950790047767748, 0.004456726110108454)","(0.995294885800719, 0.0043997377452095025)","(0.996175878048344, 0.004091767034735495)","(0.9962757678913438, 0.0037580501721003446)","(0.9961758305852282, 0.003719925458266671)","(0.9961745442749865, 0.003722162800286677)","(0.9960615846405025, 0.0037927936610374804)","(0.9960204146467492, 0.0037607051781152257)","(0.9962148618394311, 0.0036548759208040026)","(0.9959446905335916, 0.004293410865576712)","(0.9959446905335916, 0.004293410865576712)","(0.9958860280601742, 0.004217035639252761)","(0.9964076412271418, 0.00332847756039189)","(0.996498044792873, 0.0032801797420029363)","(0.9960348700350163, 0.0039609851094871504)","(0.9960335824797213, 0.003963207621326261)","(0.9960348700350163, 0.0039609851094871504)"
im(lr),"(0.8907926229574145, 2.8849245342861027e-06)","(0.9875709901043971, 0.012528307197230505)","(0.9875498131083, 0.0124244231824248)","(0.9881741666777415, 0.011873644718322428)","(0.9904674190591904, 0.011304341680433668)","(0.9906920406713194, 0.01130616243283639)","(0.9900910400418097, 0.011106142687854505)","(0.9900971982989747, 0.011105375848021164)","(0.9901813250012822, 0.011132306079184136)","(0.9908942836320443, 0.00945609315163278)","(0.990756056713729, 0.009567855367852245)","(0.9947494047758056, 0.004679839814317011)","(0.9946584852880742, 0.004714251263119073)","(0.9946345217844756, 0.004722567036698822)","(0.9953844574725315, 0.004240762018725146)","(0.9953857475413926, 0.004238584225626997)","(0.9953494026963281, 0.004212047897524774)","(0.9953248516577183, 0.004228058109890844)","(0.9927032193650381, 0.009167190831795274)","(0.9936935733701713, 0.008296716215573511)","(0.993701226358251, 0.008295632202765996)","(0.9935383293530814, 0.008259068781018728)","(0.9960348700350163, 0.0039609851094871504)","(0.9960335824797213, 0.003963207621326261)","(0.9960348700350163, 0.0039609851094871504)"
