,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
chi2,logged_in,count,srv_diff_host_rate,dst_host_count,same_srv_rate,dst_host_srv_diff_host_rate,dst_host_diff_srv_rate,duration,is_guest_login,wrong_fragment,num_access_files,dst_bytes,num_shells,num_file_creations,diff_srv_rate,su_attempted,num_root,root_shell,dst_host_srv_rerror_rate,land,urgent,src_bytes,num_failed_logins,is_host_login,num_outbound_cmds
ANOVA,logged_in,count,dst_host_count,srv_diff_host_rate,same_srv_rate,dst_host_srv_diff_host_rate,duration,dst_host_diff_srv_rate,num_access_files,dst_bytes,is_guest_login,wrong_fragment,num_file_creations,diff_srv_rate,num_shells,num_root,su_attempted,root_shell,dst_host_srv_rerror_rate,land,urgent,num_failed_logins,src_bytes,is_host_login,num_outbound_cmds
mutualinfo,count,src_bytes,dst_bytes,dst_host_count,logged_in,dst_host_srv_diff_host_rate,dst_host_diff_srv_rate,srv_diff_host_rate,same_srv_rate,diff_srv_rate,duration,dst_host_srv_rerror_rate,num_root,num_access_files,is_guest_login,num_file_creations,urgent,land,root_shell,wrong_fragment,num_shells,is_host_login,su_attempted,num_outbound_cmds,num_failed_logins
sfs(rf),count,dst_bytes,logged_in,dst_host_count,dst_host_srv_diff_host_rate,srv_diff_host_rate,dst_host_diff_srv_rate,duration,src_bytes,same_srv_rate,num_root,num_access_files,num_file_creations,num_shells,su_attempted,land,wrong_fragment,root_shell,num_outbound_cmds,is_host_login,urgent,num_failed_logins,is_guest_login,diff_srv_rate,dst_host_srv_rerror_rate
sfs(lr),count,logged_in,dst_host_count,srv_diff_host_rate,dst_host_srv_diff_host_rate,duration,num_access_files,dst_bytes,num_shells,num_file_creations,su_attempted,num_root,src_bytes,land,wrong_fragment,urgent,root_shell,num_outbound_cmds,is_host_login,same_srv_rate,diff_srv_rate,num_failed_logins,is_guest_login,dst_host_diff_srv_rate,dst_host_srv_rerror_rate
im(rf),count,dst_bytes,logged_in,dst_host_count,dst_host_srv_diff_host_rate,srv_diff_host_rate,dst_host_diff_srv_rate,duration,same_srv_rate,diff_srv_rate,dst_host_srv_rerror_rate,src_bytes,num_root,num_access_files,num_file_creations,is_guest_login,wrong_fragment,num_shells,su_attempted,num_failed_logins,root_shell,urgent,land,num_outbound_cmds,is_host_login
im(lr),wrong_fragment,count,duration,dst_host_srv_diff_host_rate,same_srv_rate,root_shell,logged_in,num_access_files,land,srv_diff_host_rate,dst_host_count,dst_bytes,num_file_creations,num_shells,dst_host_diff_srv_rate,su_attempted,num_root,is_guest_login,diff_srv_rate,dst_host_srv_rerror_rate,urgent,num_failed_logins,src_bytes,num_outbound_cmds,is_host_login
