,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
union,"(0.9892392816594292, 0.0002129568873486296, 3)","(0.9891646016394985, 0.00039548593815019853, 5)","(0.9912866031521181, 0.000644272071783785, 8)","(0.9924161857110508, 0.00047354182300469603, 9)","(0.9929278756412044, 0.0005761500684104716, 10)","(0.9928807211363182, 0.0003404331352065857, 11)","(0.9928807211363182, 0.0003404331352065857, 11)","(0.9941785457919889, 0.0004722170937995173, 13)","(0.9943214873026054, 0.0009483447621666207, 16)","(0.9943637109827245, 0.0007570305737525294, 18)","(0.9943637109827245, 0.0007570305737525294, 18)","(0.9943637109827245, 0.0007570305737525294, 18)","(0.9943637109827245, 0.0007570305737525294, 18)","(0.9943637109827245, 0.0007570305737525294, 18)","(0.9970771227133464, 0.0005417543107755912, 21)","(0.9970771227133464, 0.0005417543107755912, 21)","(0.9971607525092672, 0.000670566814046607, 22)","(0.9969848068084974, 0.0007114494218266557, 23)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9969998854619837, 0.0005985997190207567, 24)","(0.9968774646617901, 0.0005005043659610753, 25)"
intersection,"(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(0.9871746456171302, 0.000346942120392474, 1)","(0.9887221278237444, 0.00023666708351045886, 2)","(0.9887221278237444, 0.00023666708351045886, 2)","(0.9887221278237444, 0.00023666708351045886, 2)","(0.9903195020090152, 0.0002733550797792692, 3)","(0.9920327619198377, 0.0003985836453967945, 4)","(0.9921124696571308, 0.00046480192872601025, 6)","(0.9921124696571308, 0.00046480192872601025, 6)","(0.9921273889000656, 0.000580287029849222, 7)","(0.9921273889000656, 0.000580287029849222, 7)","(0.992049829829676, 0.00045437979707899036, 8)","(0.9921862845439005, 0.0004937591218730718, 9)","(0.9921862845439005, 0.0004937591218730718, 9)","(0.9921862845439005, 0.0004937591218730718, 9)","(0.9921586346171489, 0.0005634378072041019, 10)","(0.992851066674208, 0.0005153272635145488, 12)","(0.993003892466465, 0.0003466868713159327, 14)","(0.9929454757743523, 0.0006152464454364338, 15)","(0.9933535791246839, 0.00042232343723810553, 19)","(0.9944218414853646, 0.0005037726637889878, 21)","(0.9970346796506686, 0.0007006431538901456, 25)"
quorum,"(0.9872422828352985, 0.00022166744795365617, 1)","(0.9871926795534078, 0.00033496916258399326, 1)","(0.9886191137143369, 0.00014968831963685166, 2)","(0.9888267513544182, 0.00031998836621985923, 3)","(0.9904053536586771, 0.00036589753328036557, 4)","(0.9920468559481848, 0.0004886535197105285, 5)","(0.9935213673329416, 0.0006086251436362931, 6)","(0.9935514422089419, 0.0005556164029273261, 8)","(0.9935514422089419, 0.0005556164029273261, 8)","(0.9930012441954512, 0.0007332298309560619, 9)","(0.9930012441954512, 0.0007332298309560619, 9)","(0.9929382880870126, 0.0008577966179868279, 10)","(0.9931891327125582, 0.0008493794974296942, 13)","(0.9930743829411233, 0.00059028465409577, 14)","(0.994109918048383, 0.00046475568822686283, 16)","(0.994109918048383, 0.00046475568822686283, 16)","(0.9943376388420907, 0.0006814419263456822, 18)","(0.9943474507784554, 0.0006875436239207407, 20)","(0.9943474507784554, 0.0006875436239207407, 20)","(0.9967720927271404, 0.0003779539800101845, 21)","(0.9971984046068101, 0.0006404320345993584, 22)","(0.9971984046068101, 0.0006404320345993584, 22)","(0.9973610555962857, 0.0006365969134650072, 23)","(0.9973610555962857, 0.0006365969134650072, 23)","(0.9969899170916582, 0.0006417406354672476, 25)"
