,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
union,"(0.9872734638726335, 0.011513489213000912)","(0.9934723468095431, 0.007177544643669543)","(0.992174468700125, 0.0069613411277813465)","(0.9939246165400413, 0.005202578067213966)","(0.9946460580443042, 0.004977473851927125)","(0.9947451361625678, 0.004958132936773146)","(0.9952486695891423, 0.004528975501980894)","(0.9952486695891423, 0.004528975501980894)","(0.9950972090368122, 0.0045609769537661585)","(0.995193919897412, 0.004247006998695952)","(0.995939456540673, 0.003957199935441097)","(0.995939456540673, 0.003957199935441097)","(0.995939456540673, 0.003957199935441097)","(0.995939456540673, 0.003957199935441097)","(0.995939456540673, 0.003957199935441097)","(0.9961139136797914, 0.003929618059503025)","(0.9961139136797914, 0.003929618059503025)","(0.9961139136797914, 0.003929618059503025)","(0.9961101536347018, 0.003928884292450937)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)"
intersection,"(nan, nan)","(0.9866856857565482, 0.013326190403522654)","(0.9866856857565482, 0.013326190403522654)","(0.9866856857565482, 0.013326190403522654)","(0.9866856857565482, 0.013326190403522654)","(0.9873793164360822, 0.012466887318385073)","(0.9883280466734143, 0.009789397090580847)","(0.9883280466734143, 0.009789397090580847)","(0.9883280466734143, 0.009789397090580847)","(0.990008871802646, 0.01010394577778013)","(0.9899027782567498, 0.01036685749557737)","(0.9937803794470094, 0.005477458153238952)","(0.9937803794470094, 0.005477458153238952)","(0.9937791199140265, 0.0054760950048900366)","(0.9937791199140265, 0.0054760950048900366)","(0.9939971437916777, 0.005133685870097604)","(0.9939466948087391, 0.0051937803770927245)","(0.9939466948087391, 0.0051937803770927245)","(0.9939466948087391, 0.0051937803770927245)","(0.9947782968108667, 0.0047198067117995976)","(0.9946753172126874, 0.004713968546298573)","(0.9947539620863661, 0.004697867099534928)","(0.9944901272467227, 0.005007310584452633)","(0.9954176248748917, 0.004207421538677158)","(0.9960348700350163, 0.0039609851094871504)"
quorum,"(0.9866856857565482, 0.013326190403522654)","(0.9866856857565482, 0.013326190403522654)","(0.9867456794825806, 0.012020006785519092)","(0.9861598039057489, 0.011904441236307878)","(0.9884237571277519, 0.010464965624749597)","(0.98968006724958, 0.01039140647327322)","(0.9908681880102994, 0.009726598765678315)","(0.9950228178941586, 0.00449554548499412)","(0.9950777127315457, 0.004458934285530802)","(0.9950777127315457, 0.004458934285530802)","(0.9950790047767748, 0.004456726110108454)","(0.9950790047767748, 0.004456726110108454)","(0.9950548107650322, 0.004771280509993241)","(0.9953314427531612, 0.004307479539037794)","(0.9955227136664384, 0.004529394866473555)","(0.9952787244587025, 0.004556145771917685)","(0.9952787244587025, 0.004556145771917685)","(0.9954188874976554, 0.004207398215443857)","(0.995939456540673, 0.003957199935441097)","(0.995939456540673, 0.003957199935441097)","(0.9961139136797914, 0.003929618059503025)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)","(0.9960348700350163, 0.0039609851094871504)"
