,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
chi2,0.6749560832977295,0.942401647567749,1.0204038619995117,1.254110336303711,1.1921358108520508,1.7158162593841553,1.8826289176940918,2.3243837356567383,2.359661340713501,3.2672579288482666,4.16089940071106,4.653522968292236,5.654845952987671,5.436458587646484,6.503634214401245,6.0270068645477295,6.973297834396362,6.201488018035889,6.565438747406006,7.352332592010498,7.715524435043335,7.630621671676636,8.656935930252075,8.799591302871704,8.32486629486084
ANOVA,0.6342976093292236,0.9554333686828613,1.1309783458709717,1.11598539352417,1.1598939895629883,1.5139515399932861,1.961756944656372,2.168196201324463,2.8533389568328857,3.9065775871276855,4.449094295501709,4.969737768173218,4.876953840255737,5.404542922973633,5.737735271453857,5.993000745773315,6.7130351066589355,5.924885034561157,6.683094024658203,7.006200551986694,7.379231214523315,8.98709750175476,9.18246865272522,8.818382978439331,9.07076382637024
mutualinfo,0.9205739498138428,1.068171739578247,1.3384158611297607,1.529909610748291,1.6585357189178467,2.1672043800354004,2.293891429901123,2.675842761993408,3.09189510345459,3.8769264221191406,4.5260703563690186,5.018548250198364,4.8611226081848145,4.910161018371582,5.976413726806641,5.450393915176392,6.22861909866333,7.544818878173828,7.934777021408081,7.604625940322876,8.547281503677368,8.240176916122437,8.210041046142578,8.209043502807617,9.452862024307251
sfs(rf),0.7270874977111816,1.0362329483032227,1.2257182598114014,1.2277204990386963,1.6396143436431885,1.7822599411010742,1.9428024291992188,2.5511789321899414,3.410032033920288,3.5554709434509277,3.8922133445739746,4.034180641174316,4.30448317527771,5.182129383087158,5.099551200866699,5.769831418991089,6.744956731796265,6.360342502593994,6.168469190597534,6.392049789428711,7.411147117614746,8.319953680038452,7.999743700027466,8.401642799377441,9.118610620498657
sfs(lr),0.8248233795166016,0.9565689563751221,1.0960960388183594,1.1140222549438477,1.3244574069976807,1.7492921352386475,2.200115442276001,2.6100480556488037,3.7888925075531006,4.062397480010986,4.429137706756592,4.621630668640137,4.653553247451782,4.606703519821167,5.706707954406738,5.561152458190918,6.16771674156189,6.665250539779663,6.742927551269531,6.8717451095581055,7.6517014503479,7.728321075439453,8.458346128463745,8.532177686691284,8.801457166671753
im(rf),0.8238255977630615,1.0163123607635498,1.1937777996063232,1.291574478149414,1.6416382789611816,1.7225658893585205,1.9139108657836914,2.450444221496582,2.648911714553833,3.202587842941284,3.4541704654693604,4.78118109703064,4.975719451904297,4.842027425765991,5.1981236934661865,5.402679920196533,5.64236307144165,7.0134735107421875,6.371061086654663,6.939701795578003,7.8395397663116455,8.144853115081787,8.60342288017273,8.56664228439331,8.702670812606812
im(lr),0.873948335647583,1.0502116680145264,1.254474401473999,1.5990464687347412,1.542309045791626,1.9088354110717773,2.2425599098205566,3.097381830215454,4.042904615402222,4.473555564880371,4.887204885482788,5.130432844161987,5.404393911361694,5.6024627685546875,5.869508266448975,5.966517210006714,6.469376087188721,6.939022541046143,6.716134786605835,7.116724014282227,7.1196608543396,8.461864709854126,8.874399185180664,8.429760694503784,8.731126546859741
